id,confidenceScore,imageUrl,imageFile,safetyScore,calculatedScores,coordinates,city
7GHovlsf44dzEVhkqf6L,"['5', '4', '5', '4', '4']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque000039.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=FuV%2FhNYHXBrMwVKimBP9d%2FwE0UvGbHIdTHbh3F2l%2Fxp7ETdgdGvzMfroVKW%2BHacu0Jv0ya%2BtnEwkg5FfaWsf2jImpjt85kiUlsh57kL%2F1Sdh96J%2BYkHdfTCR1d5w8UB6FK%2Bl9YSHAoa2C86oPcwdGzD0nHtpcjhEborvK%2FwdEpb3mlpE75TzAqr400ddh18ZJ2LtDFubIjF7TGJCSee%2F6kU1p%2BybDn%2F57bKvBUSrL3C9y9p0WCBzt1ausoeXvyMB8FP0EbS0OLDwnLQTDJXtJmAmBoyDZCh%2FNbYUSdlZxpAuCMgXnxD8Im4PhuXf6JqAWonQ51eoHso2n%2FuDPfenjw%3D%3D,dataset/base/0.jpg,"['3', '4', '1', '4', '4']",4.52,"121.035513, 14.445193",paranaque
dPKmmGtY8XFiqqL076tB,"['4', '4', '4', '4', '5']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque005087.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=m12u74vWfjQ1v0e9isykLX3%2BJ2GsEmM%2FkKoPz%2FOkqgSbjXvcmLREFoh9PAR93JBLn7ck3a1QL4eQ5XIsXwSl5eAgbnjwDFuw38RJUg1mULx3ItzWGvhpnR7QXmRnmH%2BvlQhFNV1zjEO7qqGCWb8dQpk8xxCC8Vz6itGmIPFmQTLbM5ShAnfb55iF%2FHL%2Fdhqcl%2BoCHirtjmP5OW1MSd%2ByLWv1C%2FZ15NOs%2F7h9CwW8Quv06zgqFTio%2Fhy3m7O3TG1P1bUohg%2FOm2JN4faruTrBnMHYSzzBaCe75uymRtKf%2Fj1W%2BIYHKL8fS5muPaM1M%2BhM08D12DS8DpJZEvx0ftn%2FbA%3D%3D,dataset/base/1.jpg,"['4', '2', '3', '3', '5']",4.72,"121.034358, 14.446653",paranaque
cvveGLFZv8im8szkCij1,"['4', '2', '3', '5', '3']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque005899.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730294400&Signature=KZGGc8GI1Z3LMn7en7wJU9kjHfN1UuKRqbj9H1KDcNwVQUbGnZknjKsIUJtncoQbQkORK%2FowL6goOQP26kL4xRg1r0Mv45YEu5K%2FewmxPEJ%2FQ%2B%2FNZfiSIuApw59HcYt%2Bp1U1SHkzENJBAjJ8K%2FA7EIVswNCFWCuIEtxUSCV9oP3g6qR5V2WfNtVYn3NjQuqURmWq0ChTDQ20gZgc5sDLD3l65adPVoMmO3%2B91y2FENqYDl6%2Ftxip7diJB3DSbmXMI1VpONvd6rQ9s1xedlWyZqiTmPNkv0aN%2FB3JRzubWdocU8Ds%2FmSVnf64Z3A5ZLLOM4IBOQOQW0%2Babbl8TOaKEw%3D%3D,dataset/base/2.jpg,"['4', '4', '3', '3', '4']",4.86,"121.033166, 14.448051",paranaque
q8a4eGfojrPWCUOsqwJ9,"['2', '4', '4', '4', '3']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque006927.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=Bd6howxs1vKauoZ3WUa0v2XnZ%2BdMpJd%2BOiz7npfSPRQjTc5cd9k9w%2F5Gw%2BMZ6%2BEe9iUYUgRO18MVUMVMA4efEOnC%2B0Fkea8BArH2JkiTM5pe5N8Cn9FE21bjo3zSbx1aKO6iW03mgvLys4USuh32nDkKeEyVN1%2FRaUFjYlJfH7f1z5zpGP0%2B2aE%2Frmhp8c8hPOw93kidcnRfzuNfkonYy4nUu2ssPhBb2C4yezqpHV8yA8sd1DA%2FQAco5he%2FPHPjzVjegAOOC3VU%2FgL7t9f25mEr%2FJuDIwcmFk4dvF31n8iY7CcMHNasbisH6GlxQ67dAEGnS%2FlM%2BKaF6e4a7bOJQg%3D%3D,dataset/base/3.jpg,"['2', '3', '2', '2', '3']",2.43,"121.04462, 14.454739",paranaque
Jc2KtS5yhgxYhcFZ1tbx,"['3', '4', '1', '5', '4']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque008224.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=TzoEOTIeqyq8n5PzmMeTNI2ntetAI3Yw3rTfk%2FTn%2BSuyToqNTKmLIA2OOOX4hzjSphQRrXexLHjQ8Ci90TWWouuJ9DnvGtMgL9Yd86bdmjLmQCLO1rI%2FCgfyAzkMMeIbP3f13JC9JTH15qp0vTIHwVNX%2FIx8P%2F3Dih9PqyDQTbG7rwUrzNktUlVInpMrtdf%2FqHEjPZfN2pQ8qO3P5QfyYcOFy1DkXYmHItxnlhrq%2BCLbtly7hX6ACFbG1cbEE5d8EiyZ23NQhKArFFxVOR2INPjUwfq5S4%2B0LcuV7%2Fpv%2Buzh1qcMNCGETvpnlBBa2DdzQwFSV%2F%2FsO%2BhwJpkT08sp5w%3D%3D,dataset/base/4.jpg,"['4', '3', '2', '2', '1']",2.58,"121.041713, 14.454986",paranaque
81KV6MBtYsw1hZP11kj8,"['3', '2', '4', '4', '2']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque008334.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=Bpu0nP7J9O9ETroa8lbW4Jh2HXvRtTAXYXsFqgXSNPo8HFEeuCs5%2FF%2FmHv%2FXqPT3ySXh05F7r8wfsErlZ5bJyqYFIya1t48lDVBAcv%2FRPv6IfsSs%2Fs8LAaObQ9H%2FrsRb5ohPyA5YliOv1S7da5BCa3Oo2V9vRXFWdSadXjb9HBkqaheQtZlOlQqUIQqudNm%2B0SgQfzEWdFA1qCyPQWqA4IJNFTkGNCmPcTS2v%2BtNUs9rwuHvp6b1%2Fk07Dxbu2rFJVlrZXzUQqUfTYmIQtND4Pu0XxNcWLa5Q%2BJJHtzcxPDaOZndRzr70WmMUcpa21vxg%2BG5sQTbMZ%2FXJEfGCytg5kg%3D%3D,dataset/base/5.jpg,"['4', '2', '3', '3', '5']",4.27,"121.039946, 14.455602",paranaque
Ir9BNWTwSVnC0Egj7KGN,"['5', '4', '5', '4', '5']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque009102.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=fvpNMK%2B14IdxlWJXMp3DncUgAvRftvl8zpNVV6BDLTIslKRnG6deJ1AaaF5EyD8%2FmgN8WyPvhnhyOzJZRCIX9J09Y88ZQoJsf%2BAmuxSigr1osVlQoTJmHEktr%2BPhMqUPmQuXzk211U%2BGxUkaeqKUC1NascQjatPz%2BauTdeTyHHwtEkj2FtY01f11lrC9lazxZXr2r%2FHgvUnHkWaqz9GmUrMhLrm43%2F4EXb8hU5tb9kN40yabWly7OdcYPwAOLtZnOOKiMigyJ%2FBg8vdfqaLyvMUD8tmpOtjy9oiKrBvrw4prc0GbfI9FPcsFeBbELaemZJIoB1fnsTxjCZF6J1GDEQ%3D%3D,dataset/base/6.jpg,"['1', '2', '1', '1', '2']",0.65,"121.037521, 14.456044",paranaque
ej6z358dOpuzPWFwAoO4,"['1', '2', '3', '3', '4']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque011780.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=D8%2Fk4mZ3zCKfqx5vqjxGdUjg7zTKyQPSRgMkEEV8Nubd%2FTvLHr1VFw5iOHaD%2F%2FFvM2sZoMe4iFIwFmsC5ZU9ag9Tacd4GhxJZXEH9ANEdLNu55S1y7VAHbHtqHltfrAmTC43nuraSjONR3%2BOuewv1ceS%2FqoebYH4Il6lXZ%2F%2FSvHilPoOMfk0y6ekgfV%2FjTNK3aZslCZzeJ4RF6q%2FJX162l3IcBNr8bFTMntHzzkp1wTJJsDVidnLoH8sZTa6m3wAlJTDoVQ0bZT6YIR2iGodgZiiPIEqrW7Q3YsL0%2F0wz0DlfL0AcbNJ6XJhtarA2cl99i9Gg42kEkYvsYCyHByU%2Bw%3D%3D,dataset/base/7.jpg,"['2', '3', '2', '4', '4']",3.57,"121.035691, 14.456753",paranaque
3uRnkW3IerXVCaJ1JAps,"['4', '4', '1', '4', '4']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque014616.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=mI4oy7wKX0Mh0CJxUp4qaAgvx6%2Fvy6D68UjpGZbGov%2BM7Qmm%2BBYpNCxWFyUu51l4rVCqir5cO7o%2Fl1jF51c5JI%2FJyV1o5hvP1XON2UJ%2BapRHlG6fCQv6yLHEQLjfMdwEB%2BhliVnLtoPy0sBbwiVLFH34DTq4QIu9OVGJSKheOo2FTQB%2B7PV%2Bdrf3g%2BERjkx3H6t7YKIQl7RcgWn97TmDYc%2B1oSIphaAYt6AtLd0DRZVSw3lJV%2BumAje5qwBh%2Bd02OXkhmMr8cUwmB%2FB5jxJTb6bWF4sSPlJJDlPQWhF2mv7CQ1l%2BLRd0niXdutDVcNjvf2%2FBzpSdMVHV%2F%2B83erS%2FOA%3D%3D,dataset/base/8.jpg,"['4', '5', '4', '4', '4']",5.73,"121.033619, 14.457579",paranaque
7G9nSAnYyDidSsnIcWbE,"['4', '3', '2', '1', '3']",https://storage.googleapis.com/crowdsourcing-434a9.appspot.com/paranaque014621.jpg?GoogleAccessId=firebase-adminsdk-50h5u%40crowdsourcing-434a9.iam.gserviceaccount.com&Expires=16730323200&Signature=eqG2%2FQnsblduF%2FozKvuTUuJq8lJ%2Fso9TLAq0Wrm5eqIx8YtnApohS7Y9l6fTboPUqVbkgUXfJ6PURlWR2q5ItJ29pJYIVAECaNAF9ZF9Usw5oubddB%2BSSVzPcYsBYrn1BFvhYwCf1OKXkxyWtzUPZVLYR2ucQ%2B82CVgzWtccnakQlxsgGI4td3nAtLMS9fmVNhuXf0RCKdSO0Uqvngh3JOxBjdpS%2BUkny6L9cv5Bg7lfbKp1iYnzg0MsB%2FItQPYNTfjiZcimwjJZNt%2Bs9mDFPf%2Frs4NoJPCGZE3yrL2fsskwextBq7qY4oMsKpMxF7YhR1BEhKUfRFbjK99snsbC5Q%3D%3D,dataset/base/9.jpg,"['1', '3', '4', '2', '3']",2.99,"121.045064, 14.457525",paranaque
