link,build (year),classification,fully furnished,bedrooms,baths,floor area,price range,condominium name,tower name/number,available from,cctv,balcony,elevators,fire exits,gym,lobby,reception area,fire alarm,fire sprinkler system,24-hour security,swimming pool,subdivision name,land size,car spaces,bathrooms,air conditioning,broadband internet available,entertainment room,lounge,study room,wi-fi,garage,open car spaces,clubhouse,playground,rooms (total),total floors,sqm range,alarm system,function room,smoke detector,function area,basketball court,fully fenced,garden,gazebo,jogging path,landscaped garden,parking lot,secure parking,gymnasium,basement parking,clinic,club house,fitness center,powder room,library,open space,gazebos,spa,badminton court,carport,unit/floor number,utility room,indoor pool,built-in wardrobes,drying area,game room,intercom,laundry area,maid's room,meeting rooms,shower rooms,daycare center,study area,multi-purpose lawn,parks,business center,central air conditioning,health club,sky lounge,social hall,courtyard,pond,pool bar,sports facilities,block and lot/unit number,area address,driver's room,terrace,maids room,bar,storage room,lanai,deck,tennis court,ensuite,floor,floorboards,sauna,block and lot,price conditions,shops,outdoor spa,multi-purpose hall,helipad,jacuzzi,deposit / bond,attic,pay tv access,billiards table,volleyball court,fireplace,split-system heating,floors total,column-free design,driver's quarter,pantry,ducted vacuum system,remote garage,gas heating,open fireplace,ducted cooling,theater,basement,meeting room,building name,block and lot/unit/floor number,amphitheater,indoor spa,indoor tree house,hydronic heating,price,latitude,longitude,Perceived Safety Score,geometry,religion,religion_nearest_distance,general_establishments,general_establishments_nearest_distance,financial,financial_nearest_distance,vehicle_services,vehicle_services_nearest_distance,food,food_nearest_distance,night_life,night_life_nearest_distance,healthcare_industries,healthcare_industries_nearest_distance,service_providers,service_providers_nearest_distance,administrative_offices,administrative_offices_nearest_distance,specialized_stores,specialized_stores_nearest_distance,education,education_nearest_distance,transportation,transportation_nearest_distance,living_facilities,living_facilities_nearest_distance,recreational,recreational_nearest_distance,personal_care,personal_care_nearest_distance,vehicle_services_avg_distance,night_life_avg_distance,personal_care_avg_distance,administrative_offices_avg_distance,education_avg_distance,food_avg_distance,general_establishments_avg_distance,healthcare_industries_avg_distance,service_providers_avg_distance,recreational_avg_distance,living_facilities_avg_distance,religion_avg_distance,financial_avg_distance,specialized_stores_avg_distance,transportation_avg_distance,flood_threat_level_5_yr,flood_threat_level_25_yr
https://www.lamudi.com.ph/2br-unit-rfo-for-sale-at-alpina-heights-condominium-in-marcelo-paranaque-city.html,2019.0,Brand New,Semi,2,1.0,41.2,4.1M – 4.6M,Alpina Heights Condominium,Tower 2,01/12/2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000,14.469863,121.04211,2.48,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,2.0,2.0
https://www.lamudi.com.ph/1br-unit-rfo-for-sale-at-alpina-heights-condominium-in-marcelo-paranaque-city.html,2019.0,Brand New,Semi,1,1.0,28.0,2.8M – 3.1M,Alpina Heights Condominium,Tower 2,01/12/2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000,14.469863,121.04211,2.48,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,2.0,2.0
https://www.lamudi.com.ph/2-bedroom-unit-pre-selling-for-sale-at-alpina-heights-condominium-in-paranaque.html,2021.0,Brand New,Semi,2,1.0,41.2,4.1 – 4.6M,Alpina Heights Condominium,Tower 3,01/12/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000,14.469863,121.04211,2.48,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,2.0,2.0
https://www.lamudi.com.ph/for-sale-2br-penthouse-unit-rfo-in-alpina-heights-condominium-paranaque-city.html,2019.0,Brand New,Semi,2,1.0,45.0,4.5 – 4.9M,Alpina Heights Condominium,Tower 2,01/12/2021,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000,14.469863,121.04211,3.35,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,2.0,2.0
https://www.lamudi.com.ph/1-bedroom-unit-pre-selling-for-sale-at-alpina-heights-condominium-in-paranaque.html,2021.0,Brand New,Semi,1,1.0,28.0,2.8M – 3.3M,Alpina Heights Condominium,Tower 3,01/12/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000,14.469863,121.04211,2.88,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,2.0,2.0
https://www.lamudi.com.ph/bf-homes-para-aque-modern-5-bedroom-house-and-lot-170826330154.html,,,Yes,5,,350.0,,,,,,,,,,,,,,,,,280.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000,14.4521766,121.0245799,4.0,POINT (13472394.607937852 1626145.2326210334),5,459.0275574,0,,21,646.4561117,1,978.4343124,135,609.5889978,23,572.7156755,17,625.2053856,0,,6,592.6534475,4,614.4541995,6,195.0134979,2,672.0531326,0,,0,,0,,978.4343124,724.4289657,,790.0322594,661.7148117,807.0828642,,797.7418519,,,,758.8987432,807.1503167,729.0707108,770.3905297,,
https://www.lamudi.com.ph/start-19k-mon-no-spot-down-2br-condo-for-sale-in-s-170425645168.html,2026.0,,,2,1.0,32.51,4500000,Bloom Residences,,04/03/2024,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,16.0,32.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5963545,14.467199,121.024909,3.95,POINT (13472431.243182272 1627872.223461061),2,801.6914192,1,422.3289499,18,466.2996401,0,,15,439.5268551,0,,9,465.3946239,1,673.0083504,3,486.0558332,1,547.1483822,2,409.6321869,1,476.2920774,1,688.6054845,0,,0,,,,,810.2731402,421.3648952,672.5230764,422.3289499,654.1000137,673.0083504,,688.6054845,878.2066262,755.7197946,547.1483822,476.2920774,,
https://www.lamudi.com.ph/1br-condominium-unit-for-sale-at-sucat-para-aque-c-170686006956.html,,,No,1,1.0,28.0,,Field Residences,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800000,14.493719,120.984764,3.77,POINT (13467962.322224375 1630921.2756981861),2,422.9182699,1,343.2322955,5,377.8999443,3,353.5990634,11,593.426865,3,357.3284881,6,602.3785528,1,890.6330504,3,390.1505247,1,804.8924958,1,706.6963505,0,,0,,0,,0,,705.7497518,644.1134034,,646.3439221,706.6963505,806.1186949,343.2322955,847.5066705,890.6330504,,,458.5718093,659.0460704,804.8924958,,,
https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-woodsville-crest-con-170590999487.html,2027.0,Brand New,No,1,1.0,23.5,"5,300,00",Woodsville Crest,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,30.0,9.0,23.5,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,5th floor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000,14.499387,121.025633,4.0,POINT (13472511.838493608 1631572.9831776153),1,527.5723582,0,,0,,1,992.4038687,6,417.2225501,0,,4,283.8721773,0,,1,666.2565738,0,,3,456.2141432,5,431.4117283,0,,0,,0,,992.4038687,,,666.2565738,689.8400579,660.4630177,,462.3441258,,,,527.5723582,,,595.9858096,,
https://www.lamudi.com.ph/bloom-residences-condominium-2-bedroom-with-balcon-170780383024.html,,,Yes,2,1.0,32.79,,Bloom residences,,12/02/2024,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5955000,14.467199,121.024909,2.83,POINT (13472431.243182272 1627872.223461061),2,801.6914192,1,422.3289499,18,466.2996401,0,,15,439.5268551,0,,9,465.3946239,1,673.0083504,3,486.0558332,1,547.1483822,2,409.6321869,1,476.2920774,1,688.6054845,0,,0,,,,,810.2731402,421.3648952,672.5230764,422.3289499,654.1000137,673.0083504,,688.6054845,878.2066262,755.7197946,547.1483822,476.2920774,,
