link,bedrooms,baths,floor area,condominium name,cctv,air conditioning,elevators,fire exits,gym,lobby,reception area,fire alarm,fire sprinkler system,24-hour security,playground,swimming pool,building name,block and lot/unit/floor number,build (year),price conditions,available from,meeting room,fully furnished,balcony,alarm system,badminton court,basketball court,clubhouse,jogging path,subdivision name,bathrooms,land size,fully fenced,garage,car spaces,classification,rooms (total),driver's room,ensuite,terrace,maids room,entertainment room,storage room,wi-fi,carport,lanai,parks,secure parking,garden,price range,sqm range,attic,maid's room,powder room,open car spaces,shower rooms,sports facilities,function area,landscaped garden,multi-purpose lawn,volleyball court,open space,built-in wardrobes,tower name/number,function room,game room,lounge,deck,gazebo,business center,jacuzzi,meeting rooms,smoke detector,spa,parking lot,block and lot/unit number,broadband internet available,tennis court,unit/floor number,floor,bar,sky lounge,split-system heating,area address,pantry,column-free design,helipad,utility room,indoor pool,basement parking,drying area,fitness center,intercom,laundry area,daycare center,health club,remote garage,study room,central air conditioning,gymnasium,clinic,club house,indoor spa,multi-purpose hall,social hall,sauna,pond,gazebos,shops,billiards table,courtyard,pool bar,deposit / bond,total floors,open fireplace,floorboards,theater,outdoor spa,amphitheater,gas heating,hydronic heating,indoor tree house,pay tv access,library,study area,golf area,basement,ducted cooling,ducted vacuum system,fireplace,driver's quarter,floors total,block and lot,price,latitude,longitude,Perceived Safety Score,geometry,religion,religion_nearest_distance,general_establishments,general_establishments_nearest_distance,financial,financial_nearest_distance,vehicle_services,vehicle_services_nearest_distance,food,food_nearest_distance,night_life,night_life_nearest_distance,healthcare_industries,healthcare_industries_nearest_distance,service_providers,service_providers_nearest_distance,administrative_offices,administrative_offices_nearest_distance,specialized_stores,specialized_stores_nearest_distance,education,education_nearest_distance,transportation,transportation_nearest_distance,recreational,recreational_nearest_distance,living_facilities,living_facilities_nearest_distance,personal_care,personal_care_nearest_distance,vehicle_services_avg_distance,night_life_avg_distance,personal_care_avg_distance,administrative_offices_avg_distance,education_avg_distance,food_avg_distance,general_establishments_avg_distance,healthcare_industries_avg_distance,service_providers_avg_distance,recreational_avg_distance,living_facilities_avg_distance,religion_avg_distance,financial_avg_distance,specialized_stores_avg_distance,transportation_avg_distance,min_distance_to_fault_meters,flood_threat_level_5_yr,flood_threat_level_25_yr
https://www.lamudi.com.ph/alpina-heights-condominium-2br-penthouse-condo-for-169751158853.html,2,1.0,41.2,Alpina Heights Condominium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,14.469863,121.04211,3.71,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,1009.6024910242764,2.0,2.0
https://www.lamudi.com.ph/alpina-heights-condominium-1br-unit-for-rent-fully-166072485714.html,1,1.0,27.0,Alpina Heights Condominium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,2016.0,,17/08/2022,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,14.469863,121.04211,2.48,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,1009.6024910242764,2.0,2.0
https://www.lamudi.com.ph/alpina-heights-condominium-1br-condo-for-rent-semi-169751158790.html,1,1.0,27.0,Alpina Heights Condominium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,14.469863,121.04211,3.95,POINT (13474346.049743406 1628178.4918837703),3,533.3168495,4,439.1481814,4,316.7221372,2,418.0581268,7,446.7886095,3,437.0621268,2,698.8420818,1,897.886092,3,782.0435613,0,,0,,0,,0,,0,,0,,491.9784665,596.0549089,,834.6027729,,680.7381047,554.8684454,707.3262852,897.886092,,,640.5906828,632.2539482,,,1009.6024910242764,2.0,2.0
https://www.lamudi.com.ph/2br-condo-unit-fully-furnished-for-rent-in-field-r-170903459547.html,2,1.0,56.0,Field Residences,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,14.493719,120.984764,3.77,POINT (13467962.322224375 1630921.2756981861),2,422.9182699,1,343.2322955,5,377.8999443,3,353.5990634,11,593.426865,3,357.3284881,6,602.3785528,1,890.6330504,3,390.1505247,1,804.8924958,1,706.6963505,0,,0,,0,,0,,705.7497518,644.1134034,,646.3439221,706.6963505,806.1186949,343.2322955,847.5066705,890.6330504,,,458.5718093,659.0460704,804.8924958,,7594.914781321661,,
https://www.lamudi.com.ph/merville-house-for-rent-in-paranaque-170679424180.html,5,,350.0,,,,,,,,,,,1.0,,,,,,,,,No,,,,,,,Merville Park Subdivision,5.0,350.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,14.499387,121.025633,3.77,POINT (13472511.838493608 1631572.9831776153),1,527.5723582,0,,0,,1,992.4038687,6,417.2225501,0,,4,283.8721773,0,,1,666.2565738,0,,3,456.2141432,5,431.4117283,0,,0,,0,,992.4038687,,,666.2565738,689.8400579,660.4630177,,462.3441258,,,,527.5723582,,,595.9858096,3127.41043440893,,
https://www.lamudi.com.ph/luxury-6-bedrooms-house-for-rent-at-merville-para-170547808222.html,6,,850.0,,,1.0,,,,,,,,,,,,,2000.0,,,,Semi,1.0,,,,1.0,,Merville Park,7.0,550.0,1.0,1.0,2.0,Resale,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,14.499387,121.025633,2.88,POINT (13472511.838493608 1631572.9831776153),1,527.5723582,0,,0,,1,992.4038687,6,417.2225501,0,,4,283.8721773,0,,1,666.2565738,0,,3,456.2141432,5,431.4117283,0,,0,,0,,992.4038687,,,666.2565738,689.8400579,660.4630177,,462.3441258,,,,527.5723582,,,595.9858096,3127.41043440893,,
https://www.lamudi.com.ph/house-and-lot-for-rent-lease-in-bf-homes-and-southbay-gardens-paranaque.html,3,,450.0,,,,,,,,,,,1.0,1.0,1.0,,,,,01/09/2017,,,1.0,,,1.0,1.0,1.0,BF Homes Parañaque,4.0,500.0,,1.0,2.0,,4.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,120000,450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,14.4521766,121.0245799,2.08,POINT (13472394.607937852 1626145.2326210334),5,459.0275574,0,,21,646.4561117,1,978.4343124,135,609.5889978,23,572.7156755,17,625.2053856,0,,6,592.6534475,4,614.4541995,6,195.0134979,2,672.0531326,0,,0,,0,,978.4343124,724.4289657,,790.0322594,661.7148117,807.0828642,,797.7418519,,,,758.8987432,807.1503167,729.0707108,770.3905297,2789.737666223643,,
https://www.lamudi.com.ph/3-storey-townhouse-for-lease-in-betterliving-paran-167469692788.html,3,,153.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Better Living Subdivision,3.0,77.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,14.482705,121.024909,2.91,POINT (13472431.243182272 1629654.9319967239),4,445.2426221,1,512.1626225,5,546.502466,5,487.3739106,22,419.2103527,3,612.2176574,6,522.5215614,1,816.0376427,0,,0,,5,309.5379542,3,504.2443679,4,915.6265601,1,757.0929292,0,,706.3941355,753.6511299,,,519.8517156,717.1254302,512.1626225,663.2953236,816.0376427,918.8326688,757.0929292,617.6567158,785.5753833,,647.9549507,3037.829585339223,,
https://www.lamudi.com.ph/2-bedroom-unit-for-rent-in-oak-harbor-residences-l-169277713355.html,2,2.0,100.0,Oak Harbor Residences,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,Semi,1.0,1.0,,,,1.0,,,,,,,Brand New,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,Lauderdale,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,14.509206,120.985714,2.91,POINT (13468068.07574063 1632702.0127152707),1,584.0325841,2,569.6150265,2,663.1148683,0,,37,579.7012163,1,903.3182563,2,574.247079,1,936.9665331,0,,0,,0,,23,406.1708827,6,601.8069678,0,,1,580.4203102,,903.3182563,580.4203102,,,662.8053679,600.7108976,576.2703694,936.9665331,681.5325243,,584.0325841,663.7690863,,758.7253484,7643.622443648586,1.0,1.0
https://www.lamudi.com.ph/penthouse-2-units-in-cleveland-tower-condominium-a-17066992505.html,6,,720.0,Cleveland Tower,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,Yes,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,14.509206,120.985714,2.91,POINT (13468068.07574063 1632702.0127152707),1,584.0325841,2,569.6150265,2,663.1148683,0,,37,579.7012163,1,903.3182563,2,574.247079,1,936.9665331,0,,0,,0,,23,406.1708827,6,601.8069678,0,,1,580.4203102,,903.3182563,580.4203102,,,662.8053679,600.7108976,576.2703694,936.9665331,681.5325243,,584.0325841,663.7690863,,758.7253484,7643.622443648586,1.0,1.0
