link,unit/floor number,car spaces,bedrooms,baths,floor area,floor,condominium name,available from,cctv,basement parking,elevators,fire exits,function room,gym,lobby,lounge,reception area,fire alarm,fire sprinkler system,24-hour security,garden,secure parking,swimming pool,classification,fully furnished,tower name/number,balcony,bar,maid's room,playground,laundry area,courtyard,badminton court,basketball court,jogging path,tennis court,area address,indoor pool,alarm system,broadband internet available,club house,fitness center,game room,multi-purpose hall,daycare center,building name,block and lot/unit/floor number,theater,landscaped garden,shower rooms,build (year),total floors,gymnasium,utility room,air conditioning,amphitheater,billiards table,built-in wardrobes,clinic,ensuite,entertainment room,floorboards,health club,indoor spa,indoor tree house,intercom,jacuzzi,maids room,meeting rooms,open fireplace,powder room,sky lounge,smoke detector,social hall,split-system heating,sauna,function area,open space,gazebos,spa,shops,carport,clubhouse,deck,fully fenced,gazebo,multi-purpose lawn,open car spaces,parking lot,parks,pool bar,sqm range,drying area,pond,study area,garage,price range,wi-fi,business center,subdivision name,bathrooms,land size,central air conditioning,study room,sports facilities,pay tv access,library,gas heating,helipad,block and lot/unit number,rooms (total),attic,driver's room,floors total,column-free design,driver's quarter,meeting room,pantry,hydronic heating,golf area,block and lot,remote garage,storage room,lanai,volleyball court,outdoor spa,price conditions,deposit / bond,terrace,fireplace,basement,ducted cooling,latitude,longitude,price,Perceived Safety Score,geometry,night_life,night_life_nearest_distance,financial,financial_nearest_distance,administrative_offices,administrative_offices_nearest_distance,food,food_nearest_distance,religion,religion_nearest_distance,education,education_nearest_distance,transportation,transportation_nearest_distance,healthcare_industries,healthcare_industries_nearest_distance,service_providers,service_providers_nearest_distance,general_establishments,general_establishments_nearest_distance,recreational,recreational_nearest_distance,personal_care,personal_care_nearest_distance,vehicle_services,vehicle_services_nearest_distance,specialized_stores,specialized_stores_nearest_distance,living_facilities,living_facilities_nearest_distance,vehicle_services_avg_distance,night_life_avg_distance,personal_care_avg_distance,administrative_offices_avg_distance,education_avg_distance,food_avg_distance,general_establishments_avg_distance,healthcare_industries_avg_distance,service_providers_avg_distance,recreational_avg_distance,living_facilities_avg_distance,religion_avg_distance,financial_avg_distance,specialized_stores_avg_distance,transportation_avg_distance,min_distance_to_fault_meters,flood_threat_level_5_yr,flood_threat_level_25_yr
https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-center-san-a-170805718260.html,1418,1.0,1.0,1.0,21.0,14th,Olin at Jade Drive,01/12/2029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582707,121.061458,7500000,3.24,POINT (13476499.859251278 1641155.0568865987),29,379.4199528,121,25.53278535,11,469.0412219,189,70.63883386,4,321.7620608,6,311.6722964,80,171.4475844,12,216.1581965,9,457.5783034,6,558.865217,11,434.1031612,1,679.3320896,4,559.7170074,0,,0,,772.454671,671.8596575,679.3320896,639.9417518,656.885506,615.8969401,626.974925,634.1637142,705.2072818,727.3013744,,641.4140127,530.1571671,,694.4742325,1004.4935697502332,,
https://www.lamudi.com.ph/3-pdc-discount-promo-2-bedroom-with-balcony-condo-170493531496.html,20/F Unit H,,2.0,2.0,104.0,,The Fifth,31/01/2028,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,Brand New,No,Luna,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582943,121.072573,27440000,3.45,POINT (13477737.175391441 1641182.2028005293),13,584.1728983,23,343.3050207,4,797.9546793,96,359.1046697,3,667.0905237,2,803.8380043,46,373.411523,7,562.0047234,3,867.4452378,7,441.6769311,3,609.8931739,0,,3,524.0343404,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-cbd-pasig-at-170781025663.html,,,1.0,1.0,30.0,,Portico,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,Ametrine,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,6433000,4.95,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/for-sale-spacious-condo-unit-at-velaris-near-green-170894016118.html,,1.0,1.0,2.0,108.0,,The Velaris Residences,,,,,,,,,,,,,1.0,,,,Brand New,Semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.588464,121.089097,38000000,3.45,POINT (13479576.61865731 1641817.264452935),3,434.2840689,18,230.6418051,7,15.10910319,43,21.39271696,2,290.596572,2,893.4724132,13,161.6499881,21,69.79824544,4,492.8608785,1,975.3184733,2,167.0236547,0,,0,,3,465.7232481,1,237.3571457,,555.1709286,,340.0952516,911.9284594,578.2206426,975.3184733,493.912889,709.7875879,276.4280377,237.3571457,361.9349747,413.1265209,569.5685364,562.1119737,1888.8795055249443,2.0,2.0
https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-cbd-pasig-ci-170684497284.html,05F-0025,,1.0,1.0,21.37,,Spectrum,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,8602248,3.24,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/3-pdc-discount-promo-1-bedroom-with-balcony-condo-17049352818.html,28/F Unit E,,1.0,1.0,58.0,,The Fifth,31/01/2028,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,Brand New,No,Luna,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582943,121.072573,15440000,2.48,POINT (13477737.175391441 1641182.2028005293),13,584.1728983,23,343.3050207,4,797.9546793,96,359.1046697,3,667.0905237,2,803.8380043,46,373.411523,7,562.0047234,3,867.4452378,7,441.6769311,3,609.8931739,0,,3,524.0343404,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/for-sale-affordable-furnished-compact-condo-studio-169560348149.html,2,,1.0,1.0,19.86,2,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,No,1,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.569208,121.060157,3000000,3.24,POINT (13476355.032593753 1639602.3820165403),7,27.54861187,64,450.5649153,6,274.0884066,164,21.54943088,1,989.1000139,4,373.4981221,65,222.6736741,23,386.4593629,5,597.6194,2,649.8050682,9,652.3326921,0,,5,270.4234842,0,,1,636.1756411,651.8028762,517.6144569,,668.3249604,691.3108726,590.3922434,806.1645277,641.6017925,728.5291856,853.373142,636.1756411,989.1000139,664.6725211,,723.3938555,849.7651019247795,,
https://www.lamudi.com.ph/2br-condo-unit-with-balcony-for-sale-in-ugong-pasi-170608486540.html,,,2.0,2.0,57.56,,Kasara Urban Resort Residences,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,Brand New,No,Tower 4,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582943,121.072573,10859071,3.66,POINT (13477737.175391441 1641182.2028005293),13,584.1728983,23,343.3050207,4,797.9546793,96,359.1046697,3,667.0905237,2,803.8380043,46,373.411523,7,562.0047234,3,867.4452378,7,441.6769311,3,609.8931739,0,,3,524.0343404,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/2br-condo-unit-w-balcony-for-sale-in-oranbo-pasig-170804506644.html,53O,1.0,2.0,2.0,106.0,53rd,The Empress at Capitol Commons,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.575822,121.064324,32756000,3.45,POINT (13476818.900911888 1640363.1221563343),7,222.3968321,107,169.4598283,9,227.2365549,196,32.62278745,4,99.68887524,7,419.1101268,75,44.32458322,23,113.8711434,7,153.2721445,5,244.9211702,11,59.65009655,0,,7,294.2415022,0,,1,283.2466168,552.6552322,606.1401542,,574.8799006,605.5585471,539.5969898,556.4147643,525.5510207,517.10731,274.9241784,283.2466168,459.8533908,628.9960602,,427.0103704,539.9145106106045,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830631478.html,14G,1.0,1.0,1.0,74.0,14th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,24898000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
