link,building name,block and lot/unit/floor number,classification,fully furnished,floor area,land size,sqm range,air conditioning,alarm system,broadband internet available,elevators,fire exits,meeting room,reception area,wi-fi,24-hour security,cctv,central air conditioning,fire alarm,lobby,pantry,smoke detector,ensuite,function room,driver's quarter,helipad,unit/floor number,car spaces,bedrooms,baths,condominium name,available from,balcony,playground,secure parking,swimming pool,utility room,fitness center,gym,fire sprinkler system,shops,parking lot,tower name/number,club house,laundry area,lounge,drying area,clubhouse,jogging path,basketball court,sports facilities,intercom,maids room,powder room,function area,open space,shower rooms,tennis court,maid's room,open car spaces,price range,area address,built-in wardrobes,entertainment room,game room,jacuzzi,garden,basement parking,badminton court,carport,fully fenced,garage,landscaped garden,multi-purpose lawn,parks,floor,gymnasium,indoor pool,amphitheater,bar,billiards table,business center,clinic,floorboards,gas heating,health club,hydronic heating,indoor spa,indoor tree house,meeting rooms,multi-purpose hall,open fireplace,pay tv access,sauna,sky lounge,social hall,split-system heating,study room,theater,daycare center,courtyard,library,pond,gazebos,spa,study area,golf area,deck,gazebo,outdoor spa,pool bar,remote garage,bathrooms,driver's room,storage room,lanai,volleyball court,subdivision name,terrace,build (year),deposit / bond,rooms (total),floors total,price conditions,column-free design,total floors,basement,block and lot/unit number,attic,price,latitude,longitude,Perceived Safety Score,geometry,financial,financial_nearest_distance,administrative_offices,administrative_offices_nearest_distance,food,food_nearest_distance,healthcare_industries,healthcare_industries_nearest_distance,religion,religion_nearest_distance,education,education_nearest_distance,transportation,transportation_nearest_distance,service_providers,service_providers_nearest_distance,night_life,night_life_nearest_distance,recreational,recreational_nearest_distance,vehicle_services,vehicle_services_nearest_distance,general_establishments,general_establishments_nearest_distance,living_facilities,living_facilities_nearest_distance,specialized_stores,specialized_stores_nearest_distance,personal_care,personal_care_nearest_distance,vehicle_services_avg_distance,night_life_avg_distance,personal_care_avg_distance,administrative_offices_avg_distance,education_avg_distance,food_avg_distance,general_establishments_avg_distance,healthcare_industries_avg_distance,service_providers_avg_distance,recreational_avg_distance,living_facilities_avg_distance,religion_avg_distance,financial_avg_distance,specialized_stores_avg_distance,transportation_avg_distance,min_distance_to_fault_meters,flood_threat_level_5_yr,flood_threat_level_25_yr
https://www.lamudi.com.ph/1-bedroom-royalton-towers-fully-furnished-166436280652.html,,,,,73.0,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,29C,1.0,1,1.0,The Royalton at Capitol Commons,28/09/2022,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,14.575822,121.064324,4.41,POINT (13476818.900911888 1640363.1221563343),107,169.4598283,9,227.2365549,196,32.62278745,23,113.8711434,4,99.68887524,7,419.1101268,75,44.32458322,7,153.2721445,7,222.3968321,11,59.65009655,7,294.2415022,5,244.9211702,1,283.2466168,0,,0,,552.6552322,606.1401542,,574.8799006,605.5585471,539.5969898,556.4147643,525.5510207,517.10731,274.9241784,283.2466168,459.8533908,628.9960602,,427.0103704,539.9145106106045,,
https://www.lamudi.com.ph/the-royalton-capitol-commons-2br-for-rent-169025405682.html,,,,,102.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,2,2.0,The Royalton at Capitol Commons,25/07/2023,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000,14.575822,121.064324,4.05,POINT (13476818.900911888 1640363.1221563343),107,169.4598283,9,227.2365549,196,32.62278745,23,113.8711434,4,99.68887524,7,419.1101268,75,44.32458322,7,153.2721445,7,222.3968321,11,59.65009655,7,294.2415022,5,244.9211702,1,283.2466168,0,,0,,552.6552322,606.1401542,,574.8799006,605.5585471,539.5969898,556.4147643,525.5510207,517.10731,274.9241784,283.2466168,459.8533908,628.9960602,,427.0103704,539.9145106106045,,
https://www.lamudi.com.ph/1-bedroom-condo-unit-for-rent-in-san-joaquin-pasig-170238108256.html,,,,No,30.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1,1.0,The Rochester,,,1.0,,1.0,,,1.0,,,,Palmridge Tower,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,14.552166,121.075788,3.64,POINT (13478095.067554343 1637642.3218333577),10,57.32209745,14,137.941872,17,75.50509154,21,111.4751393,10,57.12350262,7,429.5040826,6,238.0232857,1,212.0147225,0,,2,815.8139316,1,399.0635364,0,,1,921.7363298,0,,0,,399.0635364,,,496.5908853,763.7543224,582.8992613,,598.2870797,212.0147225,903.900355,921.7363298,634.6719351,430.9425913,,631.4599926,1338.2901353249922,,
https://www.lamudi.com.ph/two-bedroom-penthouse-unit-with-a-stunning-view-of-170653386929.html,,,,No,56.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,Penthouse,,2,1.0,Lumiere Residences,01/02/2024,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,14.565391,121.06934,4.53,POINT (13477377.279477706 1639163.3622991336),41,172.6810114,8,297.8617243,29,181.3616012,22,245.9739351,5,410.7638811,7,299.83543,30,114.4665212,2,717.4695738,1,455.4082923,3,479.3035413,6,130.6764825,4,185.2706608,1,790.2418793,2,218.0421234,0,,474.1929444,455.4082923,,680.6745008,753.0104648,680.9319385,624.8731006,643.7314098,762.9574819,565.452238,790.2418793,752.8443319,698.9696906,236.7322406,692.3694647,237.5648106557231,,
https://www.lamudi.com.ph/3-bedrooms-for-lease-renaissance-condominium-pasig-170422153797.html,,,,,237.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,16,,3,3.0,Renaissance 1000,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,14.582943,121.072573,4.53,POINT (13477737.175391441 1641182.2028005293),23,343.3050207,4,797.9546793,96,359.1046697,7,562.0047234,3,667.0905237,2,803.8380043,46,373.411523,3,867.4452378,13,584.1728983,3,609.8931739,3,524.0343404,7,441.6769311,0,,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/fully-furnished-3-bedroom-unit-with-balcony-for-re-170418869190.html,,,,Yes,228.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,9th,2.0,3,2.0,Renaissance 3000,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,14.582943,121.072573,4.53,POINT (13477737.175391441 1641182.2028005293),23,343.3050207,4,797.9546793,96,359.1046697,7,562.0047234,3,667.0905237,2,803.8380043,46,373.411523,3,867.4452378,13,584.1728983,3,609.8931739,3,524.0343404,7,441.6769311,0,,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/renaissance-3000-2-bedroom-unit-fully-furnished-fo-170452375673.html,,,,Yes,160.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,25th,1.0,2,2.0,Renaissance 3000,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,14.582943,121.072573,3.05,POINT (13477737.175391441 1641182.2028005293),23,343.3050207,4,797.9546793,96,359.1046697,7,562.0047234,3,667.0905237,2,803.8380043,46,373.411523,3,867.4452378,13,584.1728983,3,609.8931739,3,524.0343404,7,441.6769311,0,,0,,0,,677.536481,689.9517863,,856.5981447,872.9702833,783.0608689,668.376083,825.6054898,903.2348171,815.95399,,745.9306025,733.5094576,,737.3717021,204.803147464734,1.0,2.0
https://www.lamudi.com.ph/1-bedroom-condo-unit-for-lease-at-the-saint-franci-170773014053.html,,,,Yes,71.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,42-L,,1,1.0,St. Francis Shangri-La Place,,1.0,,,1.0,,1.0,1.0,,,,Tower 1,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,14.583771,121.059675,2.83,POINT (13476301.376599189 1641277.4437794762),112,158.8675022,11,443.8272264,161,250.4047221,11,252.8097345,4,465.6334807,5,539.1085473,59,61.7588082,7,501.9033203,28,506.2759827,8,667.0836479,3,712.0505361,6,666.6628392,0,,0,,1,717.9344908,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/2-br-corner-unit-for-rent-in-santolan-pasig-w-base-168675551623.html,,,,,38.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2,1.0,Bali Oasis,,1.0,,,1.0,,,,,,,Kendal Bldg.,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000,14.613073,121.087967,2.83,POINT (13479450.827632714 1644648.1469409626),14,510.5656038,7,186.8542671,14,581.8450989,15,137.6109068,3,226.8856621,2,749.9046582,14,115.1032488,0,,0,,0,,4,493.8195961,1,793.3356619,0,,5,394.5354689,0,,683.6261917,,,589.3742093,799.4942956,804.8708592,793.3356619,623.9058351,,,,484.6054062,631.6846614,604.253321,712.8909047,1224.1235124833051,,
https://www.lamudi.com.ph/negotiable-2-bedroom-unit-for-rent-with-parking-in-167757474973.html,,,,,37.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,807,,2,,Bali Oasis 2,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Kendal Bldg,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,14.613073,121.087967,3.94,POINT (13479450.827632714 1644648.1469409626),14,510.5656038,7,186.8542671,14,581.8450989,15,137.6109068,3,226.8856621,2,749.9046582,14,115.1032488,0,,0,,0,,4,493.8195961,1,793.3356619,0,,5,394.5354689,0,,683.6261917,,,589.3742093,799.4942956,804.8708592,793.3356619,623.9058351,,,,484.6054062,631.6846614,604.253321,712.8909047,1224.1235124833051,,
