link,subdivision name,bedrooms,baths,floor area (m²),available from,broadband internet available,air conditioning,car spaces,classification,fully furnished,total floors,area address,built-in wardrobes,balcony,build (year),fully fenced,rooms (total),price,latitude,longitude,operation,type,block and lot/unit/floor number,price conditions,deposit / bond,sqm range,price range,gym,wi-fi,swimming pool,pay tv access,basketball court,jogging path,alarm system,lounge,entertainment room,parks,unit/floor number,floor,condominium name,cctv,basement parking,elevators,fire exits,function room,lobby,reception area,fire alarm,fire sprinkler system,24-hour security,garden,secure parking,tower name/number,bar,maid's room,playground,gymnasium,utility room,billiards table,business center,club house,fitness center,game room,meeting rooms,multi-purpose hall,shower rooms,sky lounge,smoke detector,social hall,study room,function area,open space,gazebos,shops,study area,carport,clubhouse,deck,gazebo,landscaped garden,multi-purpose lawn,parking lot,theater,daycare center,sauna,laundry area,courtyard,badminton court,tennis court,jacuzzi,central air conditioning,health club,indoor spa,outdoor spa,pool bar,indoor pool,drying area,floorboards,split-system heating,garage,remote garage,sports facilities,powder room,maids room,library,spa,clinic,open car spaces,intercom,ensuite,pond,amphitheater,gas heating,hydronic heating,indoor tree house,open fireplace,helipad,golf area,latitude.1,longitude.1,bathrooms,land size (m²),storage room,terrace,block and lot/unit number,driver's room,attic,basement,lanai,ducted cooling,ducted vacuum system,fireplace,volleyball court,block and lot
https://www.lamudi.com.ph/lifehomes-subdivision-pasig-house-and-lot-with-16-169651134226.html,Lifehomes Subdivision,16,10,150,13/09/2023,1,1,,,,,,,,,,,22000000,14.588464,121.089097,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/fs311-for-sale-commercial-residential-building-in-169632088612.html,RB & A  Building,21,,720,,,,4,Resale,No,4,,1,1,,,,58000000,14.565391,121.06934,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/new-apartment-building-for-sale-in-manggahan-pasig-tenanted.html,,1,,540,,,,,,,,,,,,,,20000000,14.601887,121.093698,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/commercial-apartment-building-for-sale-at-dela-paz-16877752948.html,,10,9,800,,,,,,No,,,,,2019,1,,40000000,14.612889,121.097996,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-4-storey-rental-house-apartment-in-napico-167108919287.html,Napico,4,4,140,08/10/2022,,,,,,,Mangga St.,,,,1,,3300000,14.601887,121.093698,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/8-unit-apartment-complex-for-sale-in-kapitolyo-pas-17048896860.html,,8,8,,,,,,,,,,,,,,,64050000,14.569208,121.060157,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/apartment-for-sale-at-do-a-damiana-subdivision-ros-168007353815.html,Doña Damiana Subdivision,3,1,72,,,,,,No,,,,,,,3,14000000,14.588464,121.089097,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/apartment-for-sale-at-st-joseph-subdivision-narra-168007617082.html,St. Joseph Subdivision,1,1,,,,,,,,,,,,,,24,34000000,14.613073,121.087967,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/santolan-pasig-residential-apartment-building-for-168118370178.html,,17,17,558,,,,,,No,,,,,,1,,26000000,14.613073,121.087967,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/4-storey-apartment-for-sale-in-metropolis-village-170364128846.html,,6,6,200,,,,,,No,,,,1,,,,13125000,14.583771,121.059675,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/5-doors-apartment-for-sale-in-pasig-city-metro-man-168832071362.html,,5,5,308,,,,2,,No,,,1,,,,,18000000,,,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/income-generating-apartment-building-for-sale-in-d-168973232161.html,,30,,,17/07/2023,,,,,Yes,,,,,,,,55000000,14.612889,121.097996,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/msg-30-0005-dasmari-as-foreclosed-apartment-170712916040.html,,1,,,,,,,,,,,,,,,,9553000,14.582707,121.061458,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-3-storey-21-units-apartment-building-in-santolan-pasig.html,,21,21,,,,,,,No,3,Evangelista St.,,,,,21,65000000,14.613073,121.087967,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-4-storey-residential-building-in-pasig-ci-168266042075.html,,19,,480,,,,16,,,,,1,,,1,,150000000,,,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-4-storey-residential-building-in-pasig-c-168266414313.html,,19,,480,,,,16,,,,,1,,,1,,150000000,,,buy,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/tastefully-designed-apartment-for-rent-at-valle-ve-171195327737.html,Valle Verde - Pasig,3,2,148,,,,,,,,,,,,,,"₱110,000",14.582317,121.072923,rent,apartment,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/2-bedroom-apartment-corner-suite-unit-with-parking.html,DMA-Bautista Compound,2,1,80,15/02/2024,,,1,,No,2,,1,1,2018,1,2,"₱28,000",14.583952,121.101245,rent,apartment,201.0,negotiable,50000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/condo-sharing-bedspacers-for-females-in-ortigas-center-pasig.html,,2,2,60,01/11/2019,1,1,,,,1,"Emerald Avenue, Ortigas Center",1,1,2012,,,"₱4,500",14.582707,121.061458,rent,apartment,33.0,,,60,4500-5000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-rent-1-bedroom-apartment-manggahan-pasig-city-170903160829.html,,1,1,29,27/02/2024,,,,,No,,"1402 Malvar St., Cruz Robles, Manggahan, Pasig",,,,,,"₱8,500",14.601887,121.093698,rent,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/2br-apartment-for-rent-ligaya-pasig-lrt-santolan-a-170850846657.html,Agapito Subdivision,2,1,120,21/02/2024,1,,,,No,,,1,,,1,,"₱18,000",14.613073,121.087967,rent,apartment,1.0,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/studio-unit-for-rent-at-rosario-pasig-free-wifi-10-170835006157.html,Eisen Catoc Compound,1,1,10,,,,,,No,2,,,,2015,1,,"₱6,500",14.588464,121.089097,rent,apartment,Unit 205,,13000,10,6500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/studio-unit-roof-deck-3rd-flr-rosario-pasig-city-f-170173996998.html,Eisen Catoc Compound,1,1,10,,,,,,No,2,,,,2015,,,"₱7,200",14.588464,121.089097,rent,apartment,Unit 203,,14000,10,7000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/4-pax-new-modern-boutique-room-bed-space-in-pasig-city-near-bgc-ortigas.html,Corbell Flats,1,,17,,,1,,,Yes,,,,,,,,"₱4,200",14.565391,121.06934,rent,apartment,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/2-pax-new-modern-boutique-room-bed-space-in-pasig-city-near-bgc-ortigas.html,Corbell Flats,1,,15,,,1,,,Yes,,,,,,,,"₱5,500",14.565391,121.06934,rent,apartment,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/whole-5-storey-residential-apartment-building-in-k-167941523661.html,,22,,,24/03/2020,,,8,,No,,,,,,,,"₱450,000",14.569208,121.060157,rent,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/spacious-2br-apartment-for-rent-at-valle-verde-6-p-168188340749.html,,2,2,110,,,1,,,,,,1,,,,,"₱57,000",14.590946,121.075788,rent,apartment,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/6-pax-new-modern-boutique-room-bed-space-in-pasig-city-near-bgc-ortigas.html,Corbell Flats,1,,22,07/01/2019,,1,,,Yes,,,1,,,,,No Price,14.565391,121.06934,rent,apartment,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/beehive-coliving-ph-condoshare-dorm-room-for-rent.html,,2,,150,,,,,,,,,,,,,,"₱3,500",14.583771,121.059675,rent,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/ortigas-bedspace-condoshare-room-for-rent-apartment-dorm-dormitory-coliving-bed.html,,2,2,150,,,,,,No,,"Philippines, Pasig, Emerald Ave",,,,,,"₱3,500",14.583771,121.059675,rent,apartment,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-rent-condo-sharing-bedspacers-for-females-in-ortigas-center-in-pasig.html,,2,2,60,09/02/2021,1,1,,,,,"Emerald Avenue, Ortigas Center",1,,,,,"₱4,500",14.582707,121.061458,rent,apartment,31,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/new-modern-boutique-room-bed-space-pasig-city.html,,1,1,15,,,1,,,No,,"1 Sta. Rosa De Lima Ext., Bagong Ilog",,,,,,"₱8,500",14.565391,121.06934,rent,apartment,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/affordable-prime-ortigas-location-1-bedroom-25-sq-m.html,San Antonio,1,,25,,,1,,,Yes,,"27 General Atienza Street,",,,,,,"₱13,500",14.582707,121.061458,rent,apartment,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/ortigas-bedspace-condoshare-dorm-condosharing-apartment-room-rent-condo-share.html,,2,2,100,,,,,,,,,,,,,,"₱3,500",14.583771,121.059675,rent,apartment,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/affordable-prime-ortigas-pasig-location-1-bedroom-apartment.html,Corbell Place,1,1,31,,,1,,,,,,,,,,,"₱16,000",14.582707,121.061458,rent,apartment,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/affordable-prime-ortigas-location-apartment-studio-type-22-sq-m.html,San Antonio,1,,22,,,1,,,,,27 General Atienza Street,,,,,,"₱11,000",14.582707,121.061458,rent,apartment,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/pn55246-1st-storey-ground-floor-compound-for-rent-167886813732.html,Valle Verde - Pasig,3,2,60.8,,,,1,,Yes,,,,,,1,,"₱35,000",14.582943,121.072573,rent,apartment,Ground Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/room-for-rent-in-maybunga-pasig-city-metro-manila.html,,1,1,,17/03/2021,,,,,No,,"15 Jenny's Avenue, Maybunga, Pasig City",,,,,,"₱3,800",14.576282,121.085049,rent,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/newly-built-lady-bedspace-near-santolan-lrt-2-stat-167619158263.html,,2,3,43,,,,,,Yes,,,1,,,,,"₱3,000",14.620333,121.089738,rent,apartment,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
