link,subdivision name,block and lot/unit/floor number,bedrooms,baths,floor area (m²),available from,alarm system,built-in wardrobes,floorboards,broadband internet available,pay tv access,air conditioning,central air conditioning,entertainment room,lounge,study room,wi-fi,swimming pool,tennis court,balcony,fully fenced,basketball court,sports facilities,jogging path,parks,area address,fully furnished,ducted cooling,build (year),rooms (total),total floors,price conditions,price range,car spaces,sqm range,classification,price,operation,land size (m2),latitude,longitude,type,gym,condominium name,tower name/number,cctv,elevators,fire exits,fitness center,function room,game room,lobby,reception area,24-hour security,landscaped garden,playground,unit/floor number,gymnasium,utility room,club house,drying area,powder room,smoke detector,daycare center,fire alarm,shops,study area,clubhouse,deck,garden,jacuzzi,multi-purpose lawn,pool bar,indoor pool,basement parking,intercom,laundry area,maid's room,meeting rooms,function area,open space,gazebos,garage,parking lot,shower rooms,multi-purpose hall,fire sprinkler system,gazebo,open car spaces,secure parking,theater,business center,health club,sky lounge,social hall,courtyard,pond,billiards table,bar,floor,ensuite,indoor spa,open fireplace,badminton court,carport,gas heating,deposit / bond,split-system heating,amphitheater,clinic,library,sauna,spa,hydronic heating,indoor tree house,maids room,remote garage,outdoor spa,helipad,golf area,latitude.1,longitude.1,bathrooms,land size (m²),driver's room,lanai,storage room,block and lot/unit number,terrace,volleyball court,ducted vacuum system,fireplace,attic,basement,block and lot
https://www.lamudi.com.ph/w-pool-corner-single-attached-house-lot-for-sale-i-170185313552.html,Multinational Village,65/11,11.0,11.0,650.0,21/01/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,"₱65,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/5-door-apartment-unit-for-sale-in-baclaran-171222454164.html,,111,10.0,5.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱35,000,000",buy,,14.529416,120.997102,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/4-storey-building-629-sqm-for-sale-in-tambo-para-a-16829129860.html,,,24.0,,,,,,,,,,,,,,,,,,1.0,,,,,,No,,,,,,,,,,"₱250,000,000",buy,,14.516398,120.989915,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/income-generating-apartment-buildings-for-sale-in-168780600726.html,,,10.0,9.0,950.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,No,1.0,,,,,,,,,"₱67,000,000",buy,,14.4521766,121.0245799,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-apartment-building-in-moonwalk-para-aque-167838182916.html,,,5.0,5.0,1000.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱60,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/multiple-apartment-building-in-para-aque-168740856953.html,BF Homes Parañaque,,12.0,12.0,600.0,22/06/2023,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱67,000,000",buy,,14.4521766,121.0245799,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/brand-new-residential-building-for-sale-in-multina-167557270960.html,Multinational Village,,64.0,64.0,2750.0,,,,,,,,,,,,,,,,1.0,,,,,,No,,,,,,,,,,"₱280,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/apartment-for-sale-2years-old-built-in-brgy-moonwalk-village-paranaque-city-4.html,Moonwalk Village - Parañaque,13,19.0,19.0,530.0,18/07/2020,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,2020.0,19.0,2.0,Negotiable,21000000,,,,"₱21,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-5-storey-building-apartment-in-multinatio-17060880652.html,Multinational Village,,64.0,64.0,2750.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱280,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-13-bedroom-13br-3-storey-building-at-bf-h-169819675816.html,,,13.0,,1200.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱67,000,000",buy,,14.4521766,121.0245799,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-1000-sq-meters-residential-building-at-mo-169843526910.html,,,5.0,5.0,1000.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱60,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/for-sale-5-storey-residential-building-in-moonwalk-170705063662.html,,,5.0,5.0,1000.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"₱60,000,000",buy,,14.492371,121.008496,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/apartment-building-with-income-for-sale-in-moonvil-169815287035.html,,,10.0,9.0,1200.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,No,,,,,,,,,,"₱29,000,000",buy,,14.491803,121.038006,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/bf-homes-8-door-apartment-for-sale-168864629455.html,BF Homes Parañaque,,16.0,,1500.0,06/07/2023,,,,,,,,,,,,,,,1.0,,,,,,No,,,,,,,,,,"₱67,000,000",buy,,14.4521766,121.0245799,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/3-storey-residential-business-apartment-for-sale-i-167573369290.html,Better Living Subdivision,,2.0,2.0,100.0,12/09/2022,,,,,,,,,,,,,,1.0,,,,,,,,,2022.0,2.0,3.0,,,2.0,,,"₱7,500,000",buy,,14.482705,121.024909,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/residential-building-for-sale-baclaran-para-aque-c-170166917857.html,,,10.0,,710.0,04/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱65,000,000",buy,,14.529416,120.997102,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lamudi.com.ph/residential-building-for-sale-in-baclaran-para-aqu-16992602945.html,,,10.0,,710.0,03/11/2023,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"₱65,000,000",buy,,14.529416,120.997102,apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
