name,location,description,link,price,operation,bedrooms,bathrooms,floor area (m2),land size (m2),latitude,longitude,img_url_1,coordinates_1,distance_1,ModelScores
"2BR Unit (RFO) for Sale at Alpina Heights Condominium in Marcelo, Parañaque City","Marcelo Green Village, Parañaque","2-Bedroom Condo Unit (RFO)
Price Range: Php 4.1M to Php 4.6M
Payment Scheme: 10/90, 20/80
No. of Bathroom: 1
Floor Area: 41.2 sqm

Introducing The Alpina Heights Condominium – a new modern Swiss-inspired mid-rise residential condominium development that offers semi-furnished units in a serene and peaceful environment in the heart of Parañaque City. Parañaque is the country’s newest emerging economic hub. This groundbreaking urban development will offer a comfortable refuge for family life and young achievers while providing easy access to vibrant commercial areas and the Ninoy Aquino International Airport (NAIA).

Location
Lot 2, Champaca St., UPS IV West, Brgy. Marcelo, Parañaque City, Metro Manila

Key Features
Serene and Peaceful environment with plenty of open areas

Landmarks

Prominent Business Centers:

  Filinvest Alabang - 6km
  Madrigal Business Park - 6km
  Makati CBD - 10km
  Bonifacio Global City - 8km
  Ninoy Aquino Int'l Airport - 8km


Education:

  Paref Southridge School - 2.1km
  Ville St. John Academy - 3.4km
  Informatics International - 3km
  St. Bernadette College - 4.5km
  San Beda Alabang - 6km
  PATTS College of Aeronautics - 5.8km
  De La Salle Santiago Zobel - 10.5km


Shopping Centers:

  Festival Mall Alabang - 6.2km
  Alabang Town Center - 7km
  Santana Grove - 1.8km
  Shopwise Sucat - 2km
  SM Hypermarket East Svc. Road - 1.5km
  SM BF Parañaque - 2.3km


Churches:

  Sacred Heart of Jesus - 1.6km
  St. Jerome Emiliani Church - 5km
  Iglesia Ni Kristo Severina18 - 1.5km


Major Hospitals:

  Medical Center Parañaque - 2km
  Asian Hospital & Medical Center - 6.2km


HLURB LTS No. 031597
Year Built:  June 2019 (Tower 2)
Turnover Date: December 2021 (Tower 2)",https://www.lamudi.com.ph/2br-unit-rfo-for-sale-at-alpina-heights-condominium-in-marcelo-paranaque-city.html,"₱4,100,000",buy,2,1,41,,14.469863,121.04211,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9T71RuEq7htyE2BxzWBRXqAfcHNFPt1dE-skhy5fRMbB-1MHWLNSTMrHo9nlbNbzX2TQIPPGXMu6qBOHB8g7NG82AU23TFto-eW7RJxoOlwQEVylDwuiTDJnaDDwJ-4MIhYaKMDnqFQNdWDbskfQc?stp=s2048x1152&ccb=10-5&oh=00_AfCbjMwgjfcBnUL0Rwovp3AVHo53z4KgW7yyb39asE1l0A&oe=660E2E99&_nc_sid=201bca,"(121.044476, 14.469211)",0.265085652,2.48
"1BR Unit (RFO) for Sale at Alpina Heights Condominium in Marcelo, Parañaque City","Marcelo Green Village, Parañaque","1 Bedroom Condo Unit (RFO)
Price Range: Php 2.8M to Php 3.1M
Payment Scheme: 10/90, 20/80
No. of Bathrooms: 1
Floor Area: 28 sqm

Introducing The Alpina Heights Condominium – a new modern Swiss-inspired mid-rise residential condominium development that offers semi-furnished units in a serene and peaceful environment in the heart of Parañaque City. Parañaque is the country’s newest emerging economic hub. This groundbreaking urban development will offer a comfortable refuge for family life and young achievers while providing easy access to vibrant commercial areas and the Ninoy Aquino International Airport (NAIA).

Location
Lot 2, Champaca St., UPS IV West, Brgy. Marcelo, Parañaque City, Metro Manila

Key Features
Serene and Peaceful environment with plenty of open areas

Landmarks

Prominent Business Centers:

  Filinvest Alabang - 6km
  Madrigal Business Park - 6km
  Makati CBD - 10km
  Bonifacio Global City - 8km
  Ninoy Aquino Int'l Airport - 8km


Education:

  Paref Southridge School - 2.1km
  Ville St. John Academy - 3.4km
  Informatics International - 3km
  St. Bernadette College - 4.5km
  San Beda Alabang - 6km
  PATTS College of Aeronautics - 5.8km
  De La Salle Santiago Zobel - 10.5km


Shopping Centers:

  Festival Mall Alabang - 6.2km
  Alabang Town Center - 7km
  Santana Grove - 1.8km
  Shopwise Sucat - 2km
  SM Hypermarket East Svc. Road - 1.5km
  SM BF Parañaque - 2.3km


Churches:

  Sacred Heart of Jesus - 1.6km
  St. Jerome Emiliani Church - 5km
  Iglesia Ni Kristo Severina18 - 1.5km


Major Hospitals:

  Medical Center Parañaque - 2km
  Asian Hospital & Medical Center - 6.2km


HLURB LTS No. 031597
Year Built: June 2019 (Tower 2)
Turnover Date: December 2021 (Tower 2)",https://www.lamudi.com.ph/1br-unit-rfo-for-sale-at-alpina-heights-condominium-in-marcelo-paranaque-city.html,"₱2,800,000",buy,1,1,28,,14.469863,121.04211,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9T71RuEq7htyE2BxzWBRXqAfcHNFPt1dE-skhy5fRMbB-1MHWLNSTMrHo9nlbNbzX2TQIPPGXMu6qBOHB8g7NG82AU23TFto-eW7RJxoOlwQEVylDwuiTDJnaDDwJ-4MIhYaKMDnqFQNdWDbskfQc?stp=s2048x1152&ccb=10-5&oh=00_AfCbjMwgjfcBnUL0Rwovp3AVHo53z4KgW7yyb39asE1l0A&oe=660E2E99&_nc_sid=201bca,"(121.044476, 14.469211)",0.265085652,2.48
2-Bedroom Unit (Pre-Selling) for Sale at Alpina Heights Condominium in Parañaque,"Marcelo Green Village, Parañaque","2-Bedroom Condo Unit (Pre-Selling)
Price Range: Php 4.1M to Php 4.6M
Payment Scheme: 10/90, 20/80
No. of Bathroom: 1
Floor Area: 41.2 sqm

Introducing The Alpina Heights Condominium – a new modern Swiss-inspired mid-rise residential condominium development that offers semi-furnished units in a serene and peaceful environment in the heart of Parañaque City. Parañaque is the country’s newest emerging economic hub. This groundbreaking urban development will offer a comfortable refuge for family life and young achievers while providing easy access to vibrant commercial areas and the Ninoy Aquino International Airport (NAIA).

Location
Lot 2, Champaca St., UPS IV West, Brgy. Marcelo, Parañaque City, Metro Manila

Key Features
Serene and Peaceful environment with plenty of open areas

Landmarks

Prominent Business Centers:

  Filinvest Alabang - 6km
  Madrigal Business Park - 6km
  Makati CBD - 10km
  Bonifacio Global City - 8km
  Ninoy Aquino Int'l Airport - 8km


Education:

  Paref Southridge School - 2.1km
  Ville St. John Academy - 3.4km
  Informatics International - 3km
  St. Bernadette College - 4.5km
  San Beda Alabang - 6km
  PATTS College of Aeronautics - 5.8km
  De La Salle Santiago Zobel - 10.5km


Shopping Centers:

  Festival Mall Alabang - 6.2km
  Alabang Town Center - 7km
  Santana Grove - 1.8km
  Shopwise Sucat - 2km
  SM Hypermarket East Svc. Road - 1.5km
  SM BF Parañaque - 2.3km


Churches:

  Sacred Heart of Jesus - 1.6km
  St. Jerome Emiliani Church - 5km
  Iglesia Ni Kristo Severina18 - 1.5km


Major Hospitals:

  Medical Center Parañaque - 2km
  Asian Hospital & Medical Center - 6.2km


HLURB LTS No. 031597
Year Built: June 2021 (Tower 3)
Turnover Date:  December 2023 (Tower 3)",https://www.lamudi.com.ph/2-bedroom-unit-pre-selling-for-sale-at-alpina-heights-condominium-in-paranaque.html,"₱4,100,000",buy,2,1,41,,14.469863,121.04211,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9T71RuEq7htyE2BxzWBRXqAfcHNFPt1dE-skhy5fRMbB-1MHWLNSTMrHo9nlbNbzX2TQIPPGXMu6qBOHB8g7NG82AU23TFto-eW7RJxoOlwQEVylDwuiTDJnaDDwJ-4MIhYaKMDnqFQNdWDbskfQc?stp=s2048x1152&ccb=10-5&oh=00_AfCbjMwgjfcBnUL0Rwovp3AVHo53z4KgW7yyb39asE1l0A&oe=660E2E99&_nc_sid=201bca,"(121.044476, 14.469211)",0.265085652,2.48
"For Sale: 2BR Penthouse Unit (RFO) in Alpina Heights Condominium, Parañaque City","Marcelo Green Village, Parañaque","2-Bedroom Penthouse Condo Unit (RFO)
Price Range: Php 4.5M to Php 4.9M
Payment Scheme: 10/90, 20/80
No. of Bathroom: 1
Floor Area: 45 sqm

Introducing The Alpina Heights Condominium – a new modern Swiss-inspired mid-rise residential condominium development that offers semi-furnished units in a serene and peaceful environment in the heart of Parañaque City. Parañaque is the country’s newest emerging economic hub. This groundbreaking urban development will offer a comfortable refuge for family life and young achievers while providing easy access to vibrant commercial areas and the Ninoy Aquino International Airport (NAIA).

Location
Lot 2, Champaca St., UPS IV West, Brgy. Marcelo, Parañaque City, Metro Manila

Key Features
Serene and Peaceful environment with plenty of open areas

Landmarks

Prominent Business Centers:

  Filinvest Alabang - 6km
  Madrigal Business Park - 6km
  Makati CBD - 10km
  Bonifacio Global City - 8km
  Ninoy Aquino Int'l Airport - 8km


Education:

  Paref Southridge School - 2.1km
  Ville St. John Academy - 3.4km
  Informatics International - 3km
  St. Bernadette College - 4.5km
  San Beda Alabang - 6km
  PATTS College of Aeronautics - 5.8km
  De La Salle Santiago Zobel - 10.5km


Shopping Centers:

  Festival Mall Alabang - 6.2km
  Alabang Town Center - 7km
  Santana Grove - 1.8km
  Shopwise Sucat - 2km
  SM Hypermarket East Svc. Road - 1.5km
  SM BF Parañaque - 2.3km


Churches:

  Sacred Heart of Jesus - 1.6km
  St. Jerome Emiliani Church - 5km
  Iglesia Ni Kristo Severina18 - 1.5km


Major Hospitals:

  Medical Center Parañaque - 2km
  Asian Hospital & Medical Center - 6.2km


HLURB LTS No. 031597
Year Built:  June 2019 (Tower 2)
Turnover Date: December 2021 (Tower 2)",https://www.lamudi.com.ph/for-sale-2br-penthouse-unit-rfo-in-alpina-heights-condominium-paranaque-city.html,"₱4,500,000",buy,2,1,45,,14.469863,121.04211,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9T71RuEq7htyE2BxzWBRXqAfcHNFPt1dE-skhy5fRMbB-1MHWLNSTMrHo9nlbNbzX2TQIPPGXMu6qBOHB8g7NG82AU23TFto-eW7RJxoOlwQEVylDwuiTDJnaDDwJ-4MIhYaKMDnqFQNdWDbskfQc?stp=s2048x1152&ccb=10-5&oh=00_AfCbjMwgjfcBnUL0Rwovp3AVHo53z4KgW7yyb39asE1l0A&oe=660E2E99&_nc_sid=201bca,"(121.044476, 14.469211)",0.265085652,3.35
UPS 4 Industrial Lot w/ Old Warehouse,"San Martin de Porres, Parañaque","FOR SALE
Industrial Lot, UPS 4, Paranaque
W/ Old Warehouse
Lot Area: 1137 sq.m.
Floor Area: 1500 sq.m.
3 Phase Power Supply
High Ceiling
Very near Sucat SLEX Exit and Entry
Selling Price: P125,070,000.00 Gross Lot Value only
DM Me for inquiries.",https://www.lamudi.com.ph/ups-4-industrial-lot-w-old-warehouse-169085938343.html,"₱125,070,000",buy,,,,1137,14.496788,121.043543,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An_Np3CPqXF6YNRQWtptpXpVvDrkOGjnAbP0uB6ZerzUrvDjjPelooHy2v_-TrLUfDvgAN5Iq3PZJmNF7__kBuRwzbLl4VP6z1qQcHuujUz1JLH5n8QjKys346mAiDg5HuNihAdsSXw6FPSxO5jalQ?stp=s2048x1152&ccb=10-5&oh=00_AfBKrFe25iJaQcJFpYXaZbirZTgWb8LWBTC2d1YCLwS0EQ&oe=660E2CF6&_nc_sid=201bca,"(121.041539, 14.495781)",0.243067707,2.48
1 Bedroom Unit (Pre-Selling) for Sale at Alpina Heights Condominium in Parañaque,"Marcelo Green Village, Parañaque","1 Bedroom Condo Unit (Pre-Selling)
Price Range: Php 2.8M to Php 3.3M
Payment Scheme: 10/90, 20/80
No. of Bathroom: 1
Floor Area: 28 sqm

Introducing The Alpina Heights Condominium – a new modern Swiss-inspired mid-rise residential condominium development that offers semi-furnished units in a serene and peaceful environment in the heart of Parañaque City. Parañaque is the country’s newest emerging economic hub. This groundbreaking urban development will offer a comfortable refuge for family life and young achievers while providing easy access to vibrant commercial areas and the Ninoy Aquino International Airport (NAIA).

Location
Lot 2, Champaca St., UPS IV West, Brgy. Marcelo, Parañaque City, Metro Manila

Key Features
Serene and Peaceful environment with plenty of open areas

Landmarks

Prominent Business Centers:

  Filinvest Alabang - 6km
  Madrigal Business Park - 6km
  Makati CBD - 10km
  Bonifacio Global City - 8km
  Ninoy Aquino Int'l Airport - 8km


Education:

  Paref Southridge School - 2.1km
  Ville St. John Academy - 3.4km
  Informatics International - 3km
  St. Bernadette College - 4.5km
  San Beda Alabang - 6km
  PATTS College of Aeronautics - 5.8km
  De La Salle Santiago Zobel - 10.5km


Shopping Centers:

  Festival Mall Alabang - 6.2km
  Alabang Town Center - 7km
  Santana Grove - 1.8km
  Shopwise Sucat - 2km
  SM Hypermarket East Svc. Road - 1.5km
  SM BF Parañaque - 2.3km


Churches:

  Sacred Heart of Jesus - 1.6km
  St. Jerome Emiliani Church - 5km
  Iglesia Ni Kristo Severina18 - 1.5km


Major Hospitals:

  Medical Center Parañaque - 2km
  Asian Hospital & Medical Center - 6.2km


HLURB LTS No. 031597
Turnover Date: December 2023 (Tower 3)
Year Built: June 2021 (Tower 3)",https://www.lamudi.com.ph/1-bedroom-unit-pre-selling-for-sale-at-alpina-heights-condominium-in-paranaque.html,"₱2,800,000",buy,1,1,28,,14.469863,121.04211,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9T71RuEq7htyE2BxzWBRXqAfcHNFPt1dE-skhy5fRMbB-1MHWLNSTMrHo9nlbNbzX2TQIPPGXMu6qBOHB8g7NG82AU23TFto-eW7RJxoOlwQEVylDwuiTDJnaDDwJ-4MIhYaKMDnqFQNdWDbskfQc?stp=s2048x1152&ccb=10-5&oh=00_AfCbjMwgjfcBnUL0Rwovp3AVHo53z4KgW7yyb39asE1l0A&oe=660E2E99&_nc_sid=201bca,"(121.044476, 14.469211)",0.265085652,2.88
BF Homes Parañaque Modern 5 Bedroom House and Lot for Sale,"B.F. Homes, Parañaque","FOR SALE House and Lot -BF Homes, Parañaque 

-280sqm lot area 
-350sqm floor area 
-5 Bedroom 
-4 Toilet/Bath 
-3 car garage 
-Fully Furnished 
-Solar Powered 
-CCTVs 
-Maids Room w/ T/B 
-Driver's Room w/ T/B 
-Covered dirty kitchen/laundry area 
-Renovated 
-Clean Title 

32M neg.",https://www.lamudi.com.ph/bf-homes-para-aque-modern-5-bedroom-house-and-lot-170826330154.html,"₱32,000,000",buy,5,,350,280,14.4521766,121.0245799,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8MDLMrNNK-hAtAwg8iingcBuA6Q-PGAr9DO1iU3GaerZgb8xnhaoom_VaUchKTrqVAP50MsAk1zjLjteE2cQiDJgDz7HbZy87Pa1uPlk254-4qxD2qCzgq_10-gHJbkiVRjNc0FEH4sQbsIhfeZd8?stp=s2048x1536&ccb=10-5&oh=00_AfD6O_PXI4co1coPFuJIBCD6qlKlFYIs8zqY9d_3ilJfzw&oe=660E389B&_nc_sid=201bca,"(121.026287, 14.448605)",0.435936571,4.0
"Start @19K/Mon. No Spot Down 2BR Condo for sale in Sucat, Parañaque City","San Antonio, Parañaque","BLOOM RESIDENCES (PARAÑAQUE CITY)

10 to 20 mins. away to NAIA Airport, Entertainment City, Mall of Asia, CBD of Makati and BGC    

AVAIL 2-BEDROOM UNIT WITH BALCONY FOR AS LOW AS 19K MONTHLY! NO SPOT DOWNPAYMENT! 0% INTEREST  40K RESERVATION FEE  

Bloom Residences SMDC is an affordable mid-rise condo development that features more spacious units and a host of amenities in a secure and accessible community.
Nestled near SM City BF Homes, Parañaque City, SMDC sets a new standard in luxury residential living with SMDC Bloom Residences, which exudes and aura of bliss in a harmonious ensemble of mid-rise residential condominium, chic retail areas and resort-style amenities.

Bloom Residences SMDC is an affordable mid-rise condo development that features more spacious units and a host of amenities in a secure and accessible community.

Nestled near SM City BF Homes, Parañaque City, SMDC sets a new standard in luxury residential living with SMDC Bloom Residences, which exudes and aura of bliss in a harmonious ensemble of mid-rise residential condominium, chic retail areas and resort-style amenities.

SMDC BLOOM RESIDENCES
AMENITIES
* Swimming Pools
* Water play area
* Grand lobbies
* Multi-purpose rooms
* Basketball court
* Volleyball court
* Badminton court
* Jogging path
* Lounge deck
* Skateboard park
* Playground
* Lawn Area

Bloom Residences Parañaque features design elements that pay homage to nature. It merges a refreshing living experience with space versatility as it features living spaces ideal for entrepreneurs or professionals who opt to work close to home.

SMDC BLOOM RESIDENCES|BUILDING FEATURES
* 24-hour security services
* High-speed elevators
* Grand lobbies
* Back-up power system
* Centralized mailroom
* Centralized garbage collection and disposal system
* Property Management

For more details, reservations and trippings, please contact;
Ms. Apple Heruela
SMDC International Senior Property Specialist
HLURB & PRC License",https://www.lamudi.com.ph/start-19k-mon-no-spot-down-2br-condo-for-sale-in-s-170425645168.html,"₱5,963,545",buy,2,1,32,,14.467199,121.024909,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8m5Xp60r-dX17pjbn1H-JQXzFnnsMNcCnCXXyovebAlYZqy0ZYKdm1u9Cr19yMeESaMbnAqhTcFgAI040ZXQdRt9iJdUV8dylQgwRgF2hcgDUvCpTVtFV6mC0qFvc39NcQN813x1eDfkNeA67w5Ag?stp=s2048x1152&ccb=10-5&oh=00_AfD30CoVlV9a4spONHvFNY5fpOG4kIU7yHWB9byocVqQEw&oe=660E3A58&_nc_sid=201bca,"(121.021121, 14.468503)",0.433128109,3.95
"1BR Condominium Unit for Sale at Sucat, Parañaque City | Field Residences","San Dionisio, Parañaque","1BR unit for Sale at Sucat Paranaque | FIELD Residences
Floor Area: 28 sqm
Price: 3,800,000",https://www.lamudi.com.ph/1br-condominium-unit-for-sale-at-sucat-para-aque-c-170686006956.html,"₱3,800,000",buy,1,1,28,,14.493719,120.984764,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9UDH5UnLq2ySFLLVYgsiQW8GT3jphL0TiJQxpNIQ9J-BkwNSgY9ApPJ0TuBZHYHh953rkBqNqV2kkVdUFNgY44adDtvY2DdBBA0-sRCOjZpl-GnejH7y9svv2daQtD_m8mzBzrQBnJ0u0rc1XsMQ?stp=s2048x1152&ccb=10-5&oh=00_AfBbmTR5xMwgD6bnwe0LCSuamFBTLAUxaedkUH3pGVahUg&oe=660E0F3E&_nc_sid=201bca,"(120.986181, 14.492801)",0.183438971,3.77
"Studio Condo Unit for Sale in Woodsville Crest Condominium, Parañaque near NAIA","Merville, Parañaque","Woodsville Crest is part of the Woodsville complex in Merville, Parañaque. Situated between Bicutan and Nichols Interchange, this development is accessible to two main highways- West Service Road and Edison Avenue. 

With this address as your only a drive away from Makati CBD, Alabang CBD and Bonifacio Global City- ensuring convenient access to your work and recreational destination. This desirable location is also a stone’s throw away from establishments important for you and your family


PHASE 1 (Pine and Oak):

  Kid's pool
  Lap Pool
  Leisure Pool
  Grill Station
  Function Rooms
  Work Lounge
  Fitness Center
  Game Room
  Function room spill area
  Indoor and Outdoor play areas
  Jog Trail
  Pet Park


PHASE 2 (Olive Building):

  Outdoor Pool 1
  Open landscaped areas



PHASE 2 (Palm and Maple):

  Outdoor Pool 2
  Wellness Trail
  Open landscaped areas
  Picnic Groves


NEARBY ESTABLISHMENTS

Hospitals 
▪️Asian Hospital and Medical Center (11km)
▪️Parañaque Doctors Hospital (3.8km)


University
▪️Don Bosco Technical Institute Makati City (6.7km)
▪️PATTS College of Aeronautics (7.5km)
▪️St. Paul College of Parañaque (11km)
▪️De La Salle Santiago Zobel School (13km)
▪️PAREF Woodrose (16.1km)

Transportation
▪️Ninoy Aquino International Airport (5.4km)

Shopping and Entertainment 
▪️Robinsons Supermarket (0.068km)
▪️Woodsville Village Mall
▪️SM City Bicutan (2km)
▪️Resorts World Manila (4.6km)
▪️S&R Sucat (7.5km)
▪️Alabang Town Center (10.7km)
▪️Festival Supermall (10.3km)
▪️Solaire Resort & Casino (11.6km)",https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-woodsville-crest-con-170590999487.html,"₱5,300,000",buy,1,1,23,,14.499387,121.025633,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An_BiRq8TNYusgGCMs99GN_7YzMVjMIaH9ykn3y2fftFIduHqwsr9AqwLLlDAG4UeOMacCc0ZTSirm5Lozbpy-XZvys4qfUN1NyGSo9X_Rg9Or7f_JXA3oUeAyrs4ZOqFIX-oqYRSHWzJ_1qDzHb_w?stp=s2048x1152&ccb=10-5&oh=00_AfAw66APHjqP2aNE81dw5mjghByvDG1sWD4jR_LegMW0lA&oe=660E1E46&_nc_sid=201bca,"(121.021268, 14.50365)",0.666238512,4.0
