name,location,description,link,price,operation,bedrooms,bathrooms,floor area (m2),land size (m2),latitude,longitude,img_url_1,coordinates_1,distance_1,ModelScores
"Studio Condo Unit for Sale in Ortigas Center, San Antonio, Pasig | Olin at Jade Drive...","San Antonio, Pasig","Note: TCP is inclusive of parking  Experience living where all you need is within reach! Olin at Jade Drive is a 52-storey residential property that boasts of a strategic location that gives access to all the elements of modern, upbeat living for young homeowners. Nestled in the heart of Ortigas Center, Olin places you in the vicinity of offices, malls, schools, hospitals, and entertainment centers. Designed to let you pursue your passion for success, Olin comes with a co-working space right inside it for convenience. It also lets you enjoy life more with all the amenities like pools, gyms, garden lounges, and function halls. Live the modern condo lifestyle you deserve with Olin at Jade Drive!  Nearby Transportation:  MRT-3 Ortigas Station – 1.2km (15 mins) MRT-3 Shaw Blvd. Station – 1.3km (18 mins) SM Megamall UV Express Terminal – 900m (11 mins) SM Megamall Bus Terminal – 1.1km (14 mins) Future Ortigas North Subway Station – 600m (8 mins) Future Ortigas South Subway Station – 1.1km (15 mins) Future MRT-4 Meralco Ave. Station – 800m (11 mins)   Tower Highlights & Building Elevation:  52 Levels 43 Residential Floors: Low Zone: Levels 10-31| High Zone: Levels 32-54 1 Ground Floor with Retail 1 Amenity Floor (Level 9) 7 Podium Parking Levels (Levels 2-8) 2 Basement Parking Levels 5 Elevators 1,245 Residential Units 318 Parking Units   Below are the standard payment schemes for Olin at Jade Drive:  SPOT CASH: 90/10 - 90% spot (30 days) - 10% upon turnover - 10% discount on the Total List Price (TLP)  PROGRESSIVE SCHEMES a) 10/20/70  10% spot (30 days) 20% over 72 months 70% balance payable after the last monthly amortization 1.5% discount on the Total List Price (TLP)   b) 10/5/85  10% spot (30 days) 5% over 72 months 85% balance payable after the last monthly amortization 1% discount on the Total List Price (TLP)   c) 15/85  15% over 72 months 85% balance payable after the last monthly amortization   BULK PAYMENTS  Discount of 0.75% for bulk payments for purchase of two (2) to four (4) units Discount of 1.5% for purchase of five (5) and more Applicable for units purchased at the same time / second time but within six (6) months after the purchase of the first unit   Address: Jade Drive corner Exchange Road, Ortigas Center, Brgy. San Antonio, Pasig City, 1605 Metro Manila HLURB LTS No. NCR-012 Turnover Date: December 2029",https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-center-san-a-170805718260.html,"₱7,500,000",buy,1,1,21,,14.582707,121.061458,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An_VuH9czNCmKE3grXG-uP0NjCeLZcjIzdCn_-SNr9Jxp8nMFlG9ZDNvrSLPF_IqEwbE_fsZPM2iSty8AhAa5CZSqStKGRQjje8DIzyrArh6Mv2or_vgScXs9SuJdw55hTYlktkJhmrRIzyjxi6ykw?stp=s2048x1536&ccb=10-5&oh=00_AfABtFj_fttKvwyiUO0Z1cAFvi7XXE91inaL3BXRUg1zmQ&oe=660CF548&_nc_sid=201bca,"(121.063869, 14.582726)",0.259808748,3.24
"3% PDC Discount Promo! 2-Bedroom with Balcony Condo Unit for Sale in Ugong, Pasig | T...","Ugong, Pasig","3% discount for standard payment term and 1% discount for promo termsThe Fifth at Ortigas 20/F Unit H 2-Bedroom with Balcony Luna Tower  Bedroom: Master Bedroom, 2nd Bedroom, and Maid's Room T&B: 1 Master T&B, 1 Common, 1 Maid’s T&B  Nestled within the bustling Ortigas Center, The Fifth, a luxury residential project by Megaworld's Global Estate-Resorts, Inc. (GERI), offers an ideal sanctuary for young professionals, millennials, and start-up families. This development comprises two towers that seamlessly blend the comforts of condominium living with the allure of a resort-inspired and suburban lifestyle. With over 700 units to choose from, including studio, one-bedroom, and two-bedroom options, The Fifth presents a diverse range of living spaces to cater to various preferences.  Address: Ortigas Center, Brgy. Ugong, Pasig City, Metro Manila TLS#: NCR-025 Turnover Date: January 31, 2028 Total No. of Buildings: 2 Total No. of Units: Luna Tower - 357 | Astra Tower - 436",https://www.lamudi.com.ph/3-pdc-discount-promo-2-bedroom-with-balcony-condo-170493531496.html,"₱27,440,000",buy,2,2,104,,14.582943,121.072573,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8dPYJImYxW67gVFX8gxIiydAFBvPxAfqtFxqWNRubafu8tTdd_ubZjYTwyeFmuMS9Iql9X5tqBxJHD51CLSREeNbF5Itjw8eDt1F5qGeI0-B_xcLete8NPf0pKRsw6d7vJkBiI2fnC5zekvCr-sik?stp=s2048x1152&ccb=10-5&oh=00_AfC7_QhybQF5AEOmIqIX38drq069n7sL0JgiiyupPUecfQ&oe=660CFC37&_nc_sid=201bca,"(121.072581, 14.584165)",0.135210581,3.45
"Studio Condo Unit for Sale in Ortigas CBD, Pasig at Portico - Ametrine | 30sqm","Ortigas CBD, Pasig","PRE-SELLING CONDOMINIUM IN PASIG Portico is a distinct urban courtyard community with a versatile mixed-use residential development of high-rise residences, brownstone-inspired townhouses, and verdant environments that create a rare breathing space amidst a bustling CBD. The courtyard amenities and varied recreational spaces foster neighborly connections and encourage active lifestyles. Green spaces are woven into the development, making it a rare breathing space in the bustling central business district. Portico is located in Ortigas, Pasig City, a meeting point of other influential cities like San Juan and Quezon City. Ortigas continues to be a central business district of choice to top foreign and domestic corporations, as well as financial institutions like the Asian Development Bank. The CBD is bounded by main access points—EDSA, C5, and Shaw Boulevard, interlinking the district to major metropolitan destinations and beyond. Amidst it all, Portico is a pocket of peace and quiet in a well-connected and busy hub. Exclusive city living starts in any of the studios to three-bedroom unit types ranging from approximately 30 to 278 sq.m.  AMENITIES  Indoor Amenities  Gym Function Room   Outdoor Amenities  Swimming Pool Multipurpose Court Courtyards Jogging Path   Back-of-House Facilities  Residential Administration Office Security and Fire Command Center Rooms Maintenance and Janitor Rooms Garbage Holding Area   FEATURES  Ametrine  Kitchen system Closets for Bedrooms Telephone Line Provision Audio Guest Annunciator CATV Provision Provision for water heating system at T&B lavatory and shower area Tapping points to be provided; Aircon units, refrigerant and condensate pipes to be provided by unit owner Provision for washer/dryer   WHAT’S NEARBY  Key Hubs/Business Districts  Ortigas Center (1.2 km) Bonifacio Global City (BGC) (4.0km)   Leisure Destinations  Ayala Malls The 30th (0.5km) Estancia at Capitol Commons (0.5km) Shangri-La Plaza (1.5km) SM Megamall / The Podium (2km) Robinsons Galleria (2.5km)   Educational Institutions  St. Paul College Pasig (0.7km) University of Asia and the Pacific (1.4km) St. Pedro Poveda College (2.5km)   Medical Institutions  Medical Plaza Ortigas (1.6 km) The Medical City (2.5 km) Cardinal Santos Medical Center (4.3 km)   Location: Oranbo Drive and Capt. Javier St., Brgy. Oranbo, Pasig City, Metro Manila, Philippines LS No. 033483 (Phase 2 - The Ametrine at Portico) Completion Date: December 31, 2025 (Phase 2 - The Ametrine at Portico)",https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-cbd-pasig-at-170781025663.html,"₱6,433,000",buy,1,1,30,,14.583771,121.059675,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-BGwOXglEImZk4pHIf4Ty_9SK495earhjcgm2-baahmFcYhmdXu3ur2nONkkm5xTxlr0s3TQaDah0CuK-5eYGpBreiwo8Z3ynRbxCA_AiryllIg6TqYj6y4mpVGbIuNa5ESHC3LWeS9-407nDAC3Y?stp=s2048x1536&ccb=10-5&oh=00_AfBRxsaM39c1uc6HyVMj_VN8oN3Y0mdazBPrpbN2bFcMGg&oe=660D071B&_nc_sid=201bca,"(121.063841, 14.583712)",0.448957792,4.95
"For Sale Spacious Condo Unit at Velaris |near Greenmeadows Valle Verde, Pasig","Rosario, Pasig","Velaris North Tower
Turn Over 2028

108 sqm
1.5 Bedroom
16 sqm Indoor Patio
1 Flexi Room
Semi Private Elevator
1 Maidsroom with T&B
3.1 Floor to Ceiling Height
1 Single Parking

Inclusions:
1. HansGrohe and Duravit Bathroom Fixtures
2. Rangehood and cooktop
3. Smart Home
4. Aircon Units Inverter

Payment Terms

250,000 Reservation

10% Down Payment
10% Amortization for 52 mos
80% Final Payment

Set an Appointment Today ! Book a exclusive tour of Velaris Show Gallery",https://www.lamudi.com.ph/for-sale-spacious-condo-unit-at-velaris-near-green-170894016118.html,"₱38,000,000",buy,1,2,108,,14.588464,121.089097,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9AzqOKj6UIWw5tHg5cWdxNU9d3fzzXPaFXRjHn6XtEj_48S-3yiv5CNP7HRwBBnfwC8HVgqs2hx5WykrgaHWgwbYVsV1h3ANWtdmf0BmR92XI9czz1PF8uGePMDEwTFuiFPvY1BMmdaOzcuYd9Xa4?stp=s2048x1152&ccb=10-5&oh=00_AfAwDArfRi23_L4RQ4DcmXS29Q0XOQCQ_EAm9mhxftOw6w&oe=660D147A&_nc_sid=201bca,"(121.089178, 14.588909)",0.050004522,3.45
"Studio Condo Unit for Sale in Ortigas CBD, Pasig City at Spectrum | 05F-0025","Ortigas CBD, Pasig","Live in Full Color The Spectrum is one of the prime properties of Vista Residences that is located at the heart of Ortigas Pasig - One of the Philippines' major business districts. This is a 34-storey pre-selling project that will soon rise along Julia Vargas, F. Ortigas Jr. corner Garnet Street Pasig City. It's a combination of a commercial and residential space that blends the fast-paced life in a busy street with comfort and convenience. The ground level will consist of commercial establishments and restaurants. Without compromising other elements of its people's lives, the City of Pasig encourages a dynamic way of life and provides opportunities for personal development. Once you make the decision to relocate to this city, you can benefit from everything from a successful profession and education to a calm state of mind. The future residents of Spectrum will have access to a wide range of opportunities in whichever field or job they are ardently involved in, just like the spectrum of colors illustrates the range of hues from the lightest tint of white to the darkest shade of black. Each apartment features imaginative and useful space layout. Since Vista Residences' philosophy is centered on function, design, and creating condominiums that people can actually call ""home.   Features & Amenities  Swimming Pool Fitness & Wellness Gym Function Hall Lobby CCTV in Common Areas 24 hr Security Services    Nearby Establishments   CBDs:  Ortigas Center Triangle Park Araneta Center Eastwood City BGC Makati CBD    Offices:  Mega Publishing Group San Miguel Corporation Jollibee foods corporation Meralco BDO Head Office Asian Development Bank Unioil Tower Philippine Stock Exchange One Corporate Center Prestige Tower    Shopping Malls:  MetroWalk Capitol Commons Kapitolyo Edsa Shangri-La Plaza SM Megamall Forums Robinsons The Podium Robinsons Galleria Ayala Malls The 30th SM Light Mall    Medical Institutions:  Cardinal Santos Medical Center The Lourdes Hospital Medical City National Center for Mental Health Pasig Medical Clinic    Churches:  Mary the Queen Parish Our Lady of Fatima Parish Cathedral of the King EDSA Shrine St. Francis of Assissi Church    Academic Institutions:  Saint Pedro Poveda College La Salle University Greenhills University of Asia and the Pacific Saint Paul College Pasig Lourdes School Mandaluyong    Address: Julia Vargas cor. Garnet Road, Ortigas Center, Pasig City, Metro Manila LTS No. 075 Turnover Date: Q4 2025 Total No. of Buildings: 1",https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-ortigas-cbd-pasig-ci-170684497284.html,"₱8,602,248",buy,1,1,21,,14.583771,121.059675,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-BGwOXglEImZk4pHIf4Ty_9SK495earhjcgm2-baahmFcYhmdXu3ur2nONkkm5xTxlr0s3TQaDah0CuK-5eYGpBreiwo8Z3ynRbxCA_AiryllIg6TqYj6y4mpVGbIuNa5ESHC3LWeS9-407nDAC3Y?stp=s2048x1536&ccb=10-5&oh=00_AfBRxsaM39c1uc6HyVMj_VN8oN3Y0mdazBPrpbN2bFcMGg&oe=660D071B&_nc_sid=201bca,"(121.063841, 14.583712)",0.448957792,3.24
"3% PDC Discount Promo! 1 Bedroom with Balcony Condo Unit for Sale in Ugong, Pasig | T...","Ugong, Pasig","3% discount for standard payment term and 1% discount for promo termsThe Fifth at Ortigas 28/F Unit E 1 Bedroom with Balcony Luna Tower  Nestled within the bustling Ortigas Center, The Fifth, a luxury residential project by Megaworld's Global Estate-Resorts, Inc. (GERI), offers an ideal sanctuary for young professionals, millennials, and start-up families. This development comprises two towers that seamlessly blend the comforts of condominium living with the allure of a resort-inspired and suburban lifestyle. With over 700 units to choose from, including studio, one-bedroom, and two-bedroom options, The Fifth presents a diverse range of living spaces to cater to various preferences.  Address: Ortigas Center, Brgy. Ugong, Pasig City, Metro Manila TLS#: NCR-025 Turnover Date: January 31, 2028 Total No. of Buildings: 2 Total No. of Units: Luna Tower - 357 | Astra Tower - 436",https://www.lamudi.com.ph/3-pdc-discount-promo-1-bedroom-with-balcony-condo-17049352818.html,"₱15,440,000",buy,1,1,58,,14.582943,121.072573,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8dPYJImYxW67gVFX8gxIiydAFBvPxAfqtFxqWNRubafu8tTdd_ubZjYTwyeFmuMS9Iql9X5tqBxJHD51CLSREeNbF5Itjw8eDt1F5qGeI0-B_xcLete8NPf0pKRsw6d7vJkBiI2fnC5zekvCr-sik?stp=s2048x1152&ccb=10-5&oh=00_AfC7_QhybQF5AEOmIqIX38drq069n7sL0JgiiyupPUecfQ&oe=660CFC37&_nc_sid=201bca,"(121.072581, 14.584165)",0.135210581,2.48
For Sale Affordable Furnished Compact Condo Studio Unit in Kapitolyo Pasig,"Kapitolyo, Pasig","A 19.86-sqm studio unit in a 10-storey condominium development. With own CR and kitchen. Free use of common swimming pool. Guarded with common reception.

Ideal for: 


  residence for professionals working in Pasig/Mandaluyong,
  rental business (see proximity to major landmarks)


Location:


  located in flood-free area in Barangay Kapitolyo, Pasig City
  80-meter walk to Shaw Blvd.
  600 meters away from Capitol Commons
  around 1.2 km away from Ortigas Center
  around 1.4 km away from Greendfield
  around 1.7 km away from EDSA / MRT Shaw Station / Megamall / Shangri La Plaza


Condition: 


  Generally in good condition
  Easy to renovate as desired or needed
  Sold as-is, where-is
  Furnished (pull-down bed, LCD-screen TV, tower-fan, refrigerator, 1HP AC, sofa bench, dish dryer, range hood, two-unit induction cooker, microwave oven, cabinet)",https://www.lamudi.com.ph/for-sale-affordable-furnished-compact-condo-studio-169560348149.html,"₱3,000,000",buy,1,1,19,,14.569208,121.060157,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9NZ8MfcOyABd5dWliyb7ShPvwMTrpCBCz7JVeGkvjVEw29PDtP2GSX8y9VsGqjMoTrIShq4ShnCPxLUKiT8zvpnw54Jdyxaz60jMLZh24AoNcZjIUBHcRJb9CcWqhlrnF9MMWfKWP2njUqyeO0Jg?stp=s2048x1152&ccb=10-5&oh=00_AfAy4h_oBlz-66DhaxTfwxexOCDlhoncKKjXfL_-e66dSw&oe=660CF967&_nc_sid=201bca,"(121.063933, 14.569431)",0.407659444,3.24
"2BR Condo Unit with Balcony for Sale in Ugong, Pasig at Kasara Urban Resort Residence...","Ugong, Pasig","Kasara Urban Resort Residences in Pasig City is a modern six-tower residential plan, beaming with open spaces where water amenities like lake-inspired swimming pool, turtle ponds, and pools are found. From your window is an unobstructed view of the beautiful mountains of Antipolo in the morning or the Ortigas skyline at night.
Making Kasara your new city address lets you taste the goodness and convenience of urban living. Its proximity to C-5 road makes it very accessible to major business districts, shopping centers, schools, hotels, and hospitals. Your everyday needs and luxuries get fulfilled.
Step into Kasara Urban Resort Residences and live every day like you’re in paradise.

BUSINESS AND COMMERCE
Ortigas CBD (1.65 KM), BGC (4.67 KM), Tiendesitas (0.27 KM), Megamall (2.36 KM), NAIA (10.26 KM)

SCHOOLS
University of Asia & the Pacific (1.93 KM), La Salle Green Hills (2.89 KM), University of the Philippines Diliman (8.16 KM), Ateneo de Manila University (6.64 KM), Reedley International School (0.33 KM)

HOSPITALS
Medical City (1.26 KM), St. Luke's BGC (4.46 KM), Rizal Medical Center (2.41 KM)

BUILDING FEATURES

  Interior-designed lobby and common areas
  Mailroom
  100% stand-by backup automatic generator system for common areas only
  24-hour security services and maintenance
  Fire alarm and smoke detection system
  Two fire exits per tower
  Centralized sanitary disposal system
  Automatic fire sprinkler system
  Allocated emergency load for residential units in case of a power outage
  Water reservoir with separate fire reserves
  CCTV cameras


STANDARD UNIT DELIVERABLES AND FINISHES

  Ceramic tiles in living and dining areas, kitchen, and bedroom
  Ceramic tiles in the toilet and bath
  Custom-built kitchen counters and overhead cabinet
  Kitchen with provision for range hood
  Toilets with exhaust fan
  Wall-hung bathroom sink
  Typical walls: Plastered wall in painted finish
  Ceiling: Gypsum board in painted finish in kitchen and T&B only


RECREATIONAL AMENITIES

  Lake-Inspired Swimming pool
  Kiddie Pool
  Activity Area
  Multi-purpose Court
  Children’s Playground
  Clubhouse Bar w/ Multi-purpose hall
  Jogging paths
  Water Feature
  Daycare Center
  Fitness Gym
  Indoor Gameroom


UNIT FEATURES AND PROVISIONS

  Smoke detectors
  Fire sprinkler
  Provision for fiber telecommunication lines
  CATV outlet
  Single-point water heater provision
  Exhaust fan at T&B
  Exhaust provision in Kitchen
  Provision for window-type aircon in Living Room and Bedroom
  Provision for washing machine
  Back-up power (1 outlet and 1 lighting)


Address: Eagle St. and P.E Antonio, Brgy. Ugong, Pasig City, Metro Manila
LTS Nos.: Tower 1 & 2 - LTS No. 26905 | Tower 3 & 5 - LTS No. 516 | Tower 4 & 6 - LTS No. 514
Turnover Dates: Tower 3 - 2024 | Tower 4 - 2026 | Tower 5 - 2024 | Tower 6 - 2027",https://www.lamudi.com.ph/2br-condo-unit-with-balcony-for-sale-in-ugong-pasi-170608486540.html,"₱10,859,071",buy,2,2,57,,14.582943,121.072573,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8dPYJImYxW67gVFX8gxIiydAFBvPxAfqtFxqWNRubafu8tTdd_ubZjYTwyeFmuMS9Iql9X5tqBxJHD51CLSREeNbF5Itjw8eDt1F5qGeI0-B_xcLete8NPf0pKRsw6d7vJkBiI2fnC5zekvCr-sik?stp=s2048x1152&ccb=10-5&oh=00_AfC7_QhybQF5AEOmIqIX38drq069n7sL0JgiiyupPUecfQ&oe=660CFC37&_nc_sid=201bca,"(121.072581, 14.584165)",0.135210581,3.66
"2BR Condo Unit w/ Balcony for Sale in Oranbo, Pasig | The Empress at Capitol Commons ...","Oranbo, Pasig","Note: TCP is inclusive of parking  Situated directly in front of the Capitol Commons Park, Empress at Capitol Commons is a 56-storey tower that is part of the exclusive Capitol Commons residential block where everything you need is only a few steps away. Live, breathe, and take it easy in a space that embodies the true meaning of home--a sanctuary to call your own. Find joy in living within the heart of a bustling city and foster a sense of self and a sense of community through a space that has been designed with your well-being in mind. Stretch and grow, move and prance, rest and heal--Empress is a place where wellness comes first.   HLURB LTS No. 035163 Turnover Date: Q4 2026",https://www.lamudi.com.ph/2br-condo-unit-w-balcony-for-sale-in-oranbo-pasig-170804506644.html,"₱32,756,000",buy,2,2,106,,14.575822,121.064324,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-VnJXy5cVzpPwluqv6a-j5TLtfGaAxkHOPJvJZ6PnFuWnY1PK02qfM3A9chBpBWBSzjr_BaKsSfOEz3PNEM57ytitv95MAe_BhrVcq2oM5FWWzFQ6LmgbqzXVRNGA9LrejpFgY7-ai3-Njhp6EZA?stp=s2048x1152&ccb=10-5&oh=00_AfBDWFSKwH4gW5KbT9sXaHNE_IcIRBXb1ADoRtr2aYKzIQ&oe=660CE0F6&_nc_sid=201bca,"(121.064275, 14.575992)",0.019536665,3.45
"Office Condo for Sale in Ortigas CBD, Pasig | Offices at The Galleon (27J), 93sqm","Ortigas CBD, Pasig","The Galleon is a two-tower, mixed-use development of modern design having an Office for sale, Residential and Retail products, which is a unique offering within the heart of the Ortigas Center Business District. Set at the bustling Ortigas Central Business District, this modern, functional office space has everything you need within reach. Its convenient location is one of the most desirable in Metro Manila. Offices at The Galleon reflects our culture of efficiency, comfort, and wellness, and includes an elegantly designed office lobby and retail spaces inside the building. Lush landscapes are found in the communal gardens and a covered parking is easily accessible for your utmost convenience.  HLURB LTS No. 034633 Turnover Date: 2026",https://www.lamudi.com.ph/office-condo-for-sale-in-ortigas-cbd-pasig-offices-170805502848.html,"₱29,895,000",buy,,,93,,14.583771,121.059675,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-BGwOXglEImZk4pHIf4Ty_9SK495earhjcgm2-baahmFcYhmdXu3ur2nONkkm5xTxlr0s3TQaDah0CuK-5eYGpBreiwo8Z3ynRbxCA_AiryllIg6TqYj6y4mpVGbIuNa5ESHC3LWeS9-407nDAC3Y?stp=s2048x1536&ccb=10-5&oh=00_AfBRxsaM39c1uc6HyVMj_VN8oN3Y0mdazBPrpbN2bFcMGg&oe=660D071B&_nc_sid=201bca,"(121.063841, 14.583712)",0.448957792,3.45
